constituency_id,state_id,district_id,name,normalized_name
C097,ST09,D090,EAST DELHI,East Delhi
C098,ST09,D091,WEST DELHI,West Delhi
C099,ST09,D092,NORTH EAST DELHI,North East Delhi
C100,ST09,D093,CHANDNI CHOWK,Chandni Chowk
C101,ST09,D094,SOUTH DELHI,South Delhi
C102,ST09,D095,NORTH WEST DELHI,North West Delhi
C103,ST10,D096,NORTH GOA,North Goa
C104,ST10,D097,SOUTH GOA,South Goa
C105,ST11,D098,GANDHINAGAR,Gandhinagar
C106,ST11,D099,PATAN,Patan
C107,ST11,D100,SURENDRANAGAR,Surendranagar
C108,ST11,D101,NAVSARI,Navsari
C109,ST11,D102,KHEDA,Kheda
C110,ST11,D103,AHMEDABAD WEST,Ahmedabad West
C111,ST11,D104,BANASKANTHA,Banaskantha
C112,ST11,D105,AHMEDABAD EAST,Ahmedabad East
C113,ST11,D106,VADODARA,Vadodara
C114,ST11,D107,DAHOD,Dahod
C115,ST11,D108,PORBANDAR,Porbandar
C116,ST11,D109,SURAT,Surat
C117,ST11,D110,BHAVNAGAR,Bhavnagar
C118,ST11,D111,RAJKOT,Rajkot
C119,ST11,D112,BARDOLI,Bardoli
C120,ST11,D113,JAMNAGAR,Jamnagar
C121,ST11,D114,JUNAGADH,Junagadh
C122,ST11,D108,PORBANDAR,Porbandar
C123,ST11,D115,SABARKANTHA,Sabarkantha
C124,ST11,D116,KACHCHH,Kachchh
C125,ST11,D117,ANAND,Anand
C126,ST11,D118,VALSAD,Valsad
C127,ST11,D119,BHARUCH,Bharuch
C128,ST11,D120,PANCHMAHAL,Panchmahal
C129,ST11,D121,MEHSANA,Mehsana
C130,ST11,D122,AMRELI,Amreli
C131,ST12,D123,ROHTAK,Rohtak
C132,ST12,D124,BHIWANI-MAHENDRAGARH,Bhiwani-mahendragarh
C133,ST12,D125,HISAR,Hisar
C134,ST12,D126,FARIDABAD,Faridabad
C135,ST12,D127,SIRSA,Sirsa
C136,ST12,D128,KARNAL,Karnal
C137,ST12,D129,KURUKSHETRA,Kurukshetra
C138,ST12,D130,GURGAON,Gurgaon
C139,ST12,D131,SONIPAT,Sonipat
C140,ST12,D132,AMBALA,Ambala
C141,ST13,D133,HAMIRPUR,Hamirpur
C142,ST13,D134,MANDI,Mandi
C143,ST13,D135,KANGRA,Kangra
C144,ST13,D136,SHIMLA,Shimla
C145,ST14,D137,SRINAGAR,Srinagar
C146,ST14,D138,BARAMULLA,Baramulla
C147,ST14,D139,UDHAMPUR,Udhampur
C148,ST14,D140,JAMMU,Jammu
C149,ST14,D141,ANANTNAG-RAJOURI,Anantnag-rajouri
C150,ST15,D142,KODERMA,Koderma
C151,ST15,D143,JAMSHEDPUR,Jamshedpur
C152,ST15,D144,DHANBAD,Dhanbad
C153,ST15,D145,SINGHBHUM,Singhbhum
C154,ST15,D146,CHATRA,Chatra
C155,ST15,D147,HAZARIBAGH,Hazaribagh
C156,ST15,D148,DUMKA,Dumka
C157,ST15,D149,GODDA,Godda
C158,ST15,D150,RANCHI,Ranchi
C159,ST15,D151,LOHARDAGA,Lohardaga
C160,ST15,D152,RAJMAHAL,Rajmahal
C161,ST15,D153,PALAMU,Palamu
C162,ST15,D154,GIRIDIH,Giridih
C163,ST15,D155,KHUNTI,Khunti
C164,ST16,D156,HAVERI,Haveri
C165,ST16,D157,SHIMOGA,Shimoga
C166,ST16,D158,BANGALORE RURAL,Bangalore Rural
C167,ST16,D159,GULBARGA,Gulbarga
C168,ST16,D160,CHITRADURGA,Chitradurga
C169,ST16,D161,MANDYA,Mandya
C170,ST16,D162,BELGAUM,Belgaum
C171,ST16,D163,CHIKKABALLAPUR,Chikkaballapur
C172,ST16,D159,GULBARGA,Gulbarga
C173,ST16,D159,GULBARGA,Gulbarga
C174,ST16,D164,DHARWAD,Dharwad
C175,ST16,D159,GULBARGA,Gulbarga
C176,ST16,D165,KOLAR,Kolar
C177,ST16,D166,BANGALORE NORTH,Bangalore North
C178,ST16,D167,BANGALORE SOUTH,Bangalore South
C179,ST16,D168,TUMKUR,Tumkur
C180,ST16,D169,UTTARA KANNADA,Uttara Kannada
C181,ST16,D170,MYSORE,Mysore
C182,ST16,D171,DAVANAGERE,Davanagere
C183,ST16,D172,CHIKKODI,Chikkodi
C184,ST16,D173,BANGALORE CENTRAL,Bangalore Central
C185,ST16,D174,BIJAPUR,Bijapur
C186,ST16,D157,SHIMOGA,Shimoga
C187,ST16,D175,UDUPI CHIKMAGALUR,Udupi Chikmagalur
C188,ST16,D176,DAKSHINA KANNADA,Dakshina Kannada
C189,ST16,D177,HASSAN,Hassan
C190,ST16,D178,RAICHUR,Raichur
C191,ST16,D179,BELLARY,Bellary
C192,ST17,D180,ALAPPUZHA,Alappuzha
C193,ST17,D181,PATHANAMTHITTA,Pathanamthitta
C194,ST17,D182,IDUKKI,Idukki
C195,ST17,D183,MALAPPURAM,Malappuram
C196,ST17,D184,ERNAKULAM,Ernakulam
C197,ST17,D180,ALAPPUZHA,Alappuzha
C198,ST17,D185,KOTTAYAM,Kottayam
C199,ST17,D186,THRISSUR,Thrissur
C200,ST17,D187,ALATHUR,Alathur
C201,ST17,D188,KANNUR,Kannur
C202,ST17,D189,KOZHIKODE,Kozhikode
C203,ST17,D190,KOLLAM,Kollam
C204,ST17,D191,KASARAGOD,Kasaragod
C205,ST17,D192,VADAKARA,Vadakara
C206,ST17,D193,THIRUVANANTHAPURAM,Thiruvananthapuram
C207,ST17,D186,THRISSUR,Thrissur
C208,ST17,D194,PALAKKAD,Palakkad
C209,ST17,D195,MAVELIKARA,Mavelikara
C210,ST17,D196,PONNANI,Ponnani
C211,ST17,D197,WAYANAD,Wayanad
C212,ST18,D198,LADAKH,Ladakh
C213,ST19,D199,LAKSHADWEEP,Lakshadweep
C214,ST20,D200,BHOPAL,Bhopal
C215,ST20,D201,UJJAIN,Ujjain
C216,ST20,D202,JABALPUR,Jabalpur
C217,ST20,D203,GWALIOR,Gwalior
C218,ST20,D204,KHAJURAHO,Khajuraho
C219,ST20,D205,KHARGONE,Khargone
C220,ST20,D206,SHAHDOL,Shahdol
C221,ST20,D207,GUNA,Guna
C222,ST20,D208,MORENA,Morena
C223,ST20,D209,SAGAR,Sagar
C224,ST20,D210,DEWAS,Dewas
C225,ST20,D211,RATLAM,Ratlam
C226,ST20,D202,JABALPUR,Jabalpur
C227,ST20,D212,RAJGARH,Rajgarh
C228,ST20,D213,BHIND,Bhind
C229,ST20,D214,DHAR,Dhar
C230,ST20,D215,INDORE,Indore
C231,ST20,D216,VIDISHA,Vidisha
C232,ST20,D217,MANDSAUR,Mandsaur
C233,ST20,D218,TIKAMGARH,Tikamgarh
C234,ST20,D204,KHAJURAHO,Khajuraho
C235,ST20,D219,BETUL,Betul
C236,ST20,D220,MANDLA,Mandla
C237,ST20,D221,REWA,Rewa
C238,ST20,D222,SATNA,Satna
C239,ST20,D223,SIDHI,Sidhi
C240,ST20,D224,CHHINDWARA,Chhindwara
C241,ST20,D225,BALAGHAT,Balaghat
C242,ST20,D226,HOSHANGABAD,Hoshangabad
C243,ST21,D227,MUMBAI NORTH WEST,Mumbai North West
C244,ST21,D228,AKOLA,Akola
C245,ST21,D229,MUMBAI SOUTH,Mumbai South
C246,ST21,D230,AMRAVATI,Amravati
C247,ST21,D231,SHIRDI,Shirdi
C248,ST21,D232,CHHATRAPATI SAMBHAJINAGAR,Chhatrapati Sambhajinagar
C249,ST21,D233,NANDED,Nanded
C250,ST21,D234,KOLHAPUR,Kolhapur
C251,ST21,D235,MADHA,Madha
C252,ST21,D236,NANDURBAR,Nandurbar
C253,ST21,D237,PALGHAR,Palghar
C254,ST21,D238,OSMANABAD,Osmanabad
C255,ST21,D239,BULDHANA,Buldhana
C256,ST21,D240,PUNE,Pune
C257,ST21,D240,PUNE,Pune
C258,ST21,D241,BHANDARA-GONDIYA,Bhandara-gondiya
C259,ST21,D242,THANE,Thane
C260,ST21,D243,NAGPUR,Nagpur
C261,ST21,D244,DHARASHIV,Dharashiv
C262,ST21,D245,MUMBAI NORTH,Mumbai North
C263,ST21,D246,SOLAPUR,Solapur
C264,ST21,D247,CHANDRAPUR,Chandrapur
C265,ST21,D248,WARDHA,Wardha
C266,ST21,D249,MUMBAI SOUTH CENTRAL,Mumbai South Central
C267,ST21,D242,THANE,Thane
C268,ST21,D250,MUMBAI NORTH EAST,Mumbai North East
C269,ST21,D251,SANGLI,Sangli
C270,ST21,D252,YAVATMAL-WASHIM,Yavatmal-washim
C271,ST21,D253,HINGOLI,Hingoli
C272,ST21,D254,LATUR,Latur
C273,ST21,D255,KALYAN,Kalyan
C274,ST21,D254,LATUR,Latur
C275,ST21,D256,JALGAON,Jalgaon
C276,ST21,D257,RAIGAD,Raigad
C277,ST21,D258,BARAMATI,Baramati
C278,ST21,D247,CHANDRAPUR,Chandrapur
C279,ST21,D259,SATARA,Satara
C280,ST21,D260,MUMBAI NORTH CENTRAL,Mumbai North Central
C281,ST21,D243,NAGPUR,Nagpur
C282,ST21,D251,SANGLI,Sangli
C283,ST21,D249,MUMBAI SOUTH CENTRAL,Mumbai South Central
C284,ST21,D261,DINDORI,Dindori
C285,ST21,D262,DHULE,Dhule
C286,ST21,D263,NASHIK,Nashik
C287,ST21,D264,JALNA,Jalna
C288,ST21,D253,HINGOLI,Hingoli
C289,ST21,D265,BEED,Beed
C290,ST21,D266,AHMEDNAGAR,Ahmednagar
C291,ST22,D267,OUTER MANIPUR,Outer Manipur
C292,ST22,D268,INNER MANIPUR,Inner Manipur
C293,ST23,D269,SHILLONG,Shillong
C294,ST23,D270,TURA,Tura
C295,ST24,D271,MIZORAM,Mizoram
C296,ST25,D272,NAGALAND,Nagaland
C297,ST26,D273,KEONJHAR,Keonjhar
C298,ST26,D274,BHUBANESWAR,Bhubaneswar
C299,ST26,D275,KENDRAPARA,Kendrapara
C300,ST26,D276,NABARANGPUR,Nabarangpur
C301,ST26,D277,CUTTACK,Cuttack
C302,ST26,D278,JAGATSINGHPUR,Jagatsinghpur
C303,ST26,D279,SAMBALPUR,Sambalpur
C304,ST26,D280,SUNDARGARH,Sundargarh
C305,ST26,D281,KALAHANDI,Kalahandi
C306,ST26,D282,DHENKANAL,Dhenkanal
C307,ST26,D283,BARGARH,Bargarh
C308,ST26,D284,BALASORE,Balasore
C309,ST26,D285,JAJPUR,Jajpur
C310,ST26,D282,DHENKANAL,Dhenkanal
C311,ST26,D286,PURI,Puri
C312,ST26,D287,BOLANGIR,Bolangir
C313,ST26,D288,KORAPUT,Koraput
C314,ST26,D289,KANDHAMAL,Kandhamal
C315,ST26,D290,ASKA,Aska
C316,ST26,D291,BERHAMPUR,Berhampur
C317,ST26,D292,BHADRAK,Bhadrak
C318,ST27,D293,PUDUCHERRY,Puducherry
C319,ST28,D294,FATEHGARH SAHIB,Fatehgarh Sahib
C320,ST28,D295,KHADOOR SAHIB,Khadoor Sahib
C321,ST28,D296,JALANDHAR,Jalandhar
C322,ST28,D297,PATIALA,Patiala
C323,ST28,D298,AMRITSAR,Amritsar
C324,ST28,D299,BATHINDA,Bathinda
C325,ST28,D300,ANANDPUR SAHIB,Anandpur Sahib
C326,ST28,D301,SANGRUR,Sangrur
C327,ST28,D302,LUDHIANA,Ludhiana
C328,ST28,D303,HOSHIARPUR,Hoshiarpur
C329,ST28,D304,FARIDKOT,Faridkot
C330,ST28,D305,FIROZPUR,Firozpur
C331,ST28,D305,FIROZPUR,Firozpur
C332,ST29,D306,AJMER,Ajmer
C333,ST29,D307,KARAULI-DHOLPUR,Karauli-dholpur
C334,ST29,D308,JHUNJHUNU,Jhunjhunu
C335,ST29,D309,CHITTORGARH,Chittorgarh
C336,ST29,D310,TONK-SAWAI MADHOPUR,Tonk-sawai Madhopur
C337,ST29,D311,JODHPUR,Jodhpur
C338,ST29,D312,NAGAUR,Nagaur
C339,ST29,D310,TONK-SAWAI MADHOPUR,Tonk-sawai Madhopur
C340,ST29,D313,JALORE,Jalore
C341,ST29,D314,RAJSAMAND,Rajsamand
C342,ST29,D315,JAIPUR,Jaipur
C343,ST29,D316,UDAIPUR,Udaipur
C344,ST29,D317,DAUSA,Dausa
C345,ST29,D318,KOTA,Kota
C346,ST29,D319,PALI,Pali
C347,ST29,D320,CHURU,Churu
C348,ST29,D321,BANSWARA,Banswara
C349,ST29,D322,BHARATPUR,Bharatpur
C350,ST29,D323,BHILWARA,Bhilwara
C351,ST29,D324,BARMER,Barmer
C352,ST29,D325,BIKANER,Bikaner
C353,ST29,D326,GANGANAGAR,Ganganagar
C354,ST29,D327,SIKAR,Sikar
C355,ST29,D328,ALWAR,Alwar
C356,ST29,D329,JHALAWAR-BARAN,Jhalawar-baran
C357,ST30,D330,SIKKIM,Sikkim
C358,ST31,D331,NILGIRIS,Nilgiris
C359,ST31,D332,TIRUNELVELI,Tirunelveli
C360,ST31,D333,CHENNAI CENTRAL,Chennai Central
C361,ST31,D334,VELLORE,Vellore
C362,ST31,D335,TIRUCHIRAPPALLI,Tiruchirappalli
C363,ST31,D336,COIMBATORE,Coimbatore
C364,ST31,D337,KARUR,Karur
C365,ST31,D338,SALEM,Salem
C366,ST31,D339,THOOTHUKKUDI,Thoothukkudi
C367,ST31,D340,SIVAGANGA,Sivaganga
C368,ST31,D341,VIRUDHUNAGAR,Virudhunagar
C369,ST31,D336,COIMBATORE,Coimbatore
C370,ST31,D342,RAMANATHAPURAM,Ramanathapuram
C371,ST31,D343,DINDIGUL,Dindigul
C372,ST31,D344,CHENNAI NORTH,Chennai North
C373,ST31,D343,DINDIGUL,Dindigul
C374,ST31,D345,ARAKKONAM,Arakkonam
C375,ST31,D337,KARUR,Karur
C376,ST31,D338,SALEM,Salem
C377,ST31,D346,MADURAI,Madurai
C378,ST31,D347,TIRUVALLUR,Tiruvallur
C379,ST31,D348,SRIPERUMBUDUR,Sriperumbudur
C380,ST31,D349,CHENNAI SOUTH,Chennai South
C381,ST31,D350,CHIDAMBARAM,Chidambaram
C382,ST31,D351,KANNIYAKUMARI,Kanniyakumari
C383,ST31,D352,KRISHNAGIRI,Krishnagiri
C384,ST31,D353,DHARMAPURI,Dharmapuri
C385,ST31,D354,ERODE,Erode
C386,ST31,D355,TIRUPPUR,Tiruppur
C387,ST31,D356,TIRUVANNAMALAI,Tiruvannamalai
C388,ST31,D334,VELLORE,Vellore
C389,ST31,D357,KALLAKURICHI,Kallakurichi
C390,ST31,D358,ARANI,Arani
C391,ST31,D335,TIRUCHIRAPPALLI,Tiruchirappalli
C392,ST31,D359,CUDDALORE,Cuddalore
C393,ST31,D360,THANJAVUR,Thanjavur
C394,ST31,D361,MAYILADUTHURAI,Mayiladuthurai
C395,ST31,D362,NAGAPATTINAM,Nagapattinam
C396,ST31,D363,VILUPPURAM,Viluppuram
C397,ST32,D364,HYDERABAD,Hyderabad
C398,ST32,D365,KARIMNAGAR,Karimnagar
C399,ST32,D366,BHONGIR,Bhongir
C400,ST32,D367,MAHBUBNAGAR,Mahbubnagar
C401,ST32,D368,MAHABUBABAD,Mahabubabad
C402,ST32,D369,MALKAJGIRI,Malkajgiri
C403,ST32,D370,SECUNDERABAD,Secunderabad
C404,ST32,D371,WARANGAL,Warangal
C405,ST32,D372,CHEVALLA,Chevalla
C406,ST32,D373,NALGONDA,Nalgonda
C407,ST32,D374,MEDAK,Medak
C408,ST32,D368,MAHABUBABAD,Mahabubabad
C409,ST32,D375,KHAMMAM,Khammam
C410,ST32,D375,KHAMMAM,Khammam
C411,ST32,D376,ADILABAD,Adilabad
C412,ST32,D377,PEDDAPALLE,Peddapalle
C413,ST32,D378,NIZAMABAD,Nizamabad
C414,ST33,D379,TRIPURA EAST,Tripura East
C415,ST33,D380,TRIPURA WEST,Tripura West
C416,ST34,D381,GHAZIPUR,Ghazipur
C417,ST34,D382,VARANASI,Varanasi
C418,ST34,D383,KANNAUJ,Kannauj
C419,ST34,D384,DHAURAHRA,Dhaurahra
C420,ST34,D385,MIRZAPUR,Mirzapur
C421,ST34,D386,AMBEDKAR NAGAR,Ambedkar Nagar
C422,ST34,D387,MEERUT,Meerut
C423,ST34,D388,FAIZABAD,Faizabad
C424,ST34,D389,JAUNPUR,Jaunpur
C425,ST34,D390,NAGINA,Nagina
C426,ST34,D391,ROBERTSGANJ,Robertsganj
C427,ST34,D392,AKBARPUR,Akbarpur
C428,ST34,D393,AZAMGARH,Azamgarh
C429,ST34,D394,MAINPURI,Mainpuri
C430,ST34,D395,RAE BARELI,Rae Bareli
C431,ST34,D396,MATHURA,Mathura
C432,ST34,D397,SAHARANPUR,Saharanpur
C433,ST34,D398,KAIRANA,Kairana
C434,ST34,D399,DOMARIYAGANJ,Domariyaganj
C435,ST34,D394,MAINPURI,Mainpuri
C436,ST34,D400,PILIBHIT,Pilibhit
C437,ST34,D401,BANSRGAON,Bansrgaon
C438,ST34,D402,AMROHA,Amroha
C439,ST34,D403,ETAWAH,Etawah
C440,ST34,D404,AMETHI,Amethi
C441,ST34,D386,AMBEDKAR NAGAR,Ambedkar Nagar
C442,ST34,D405,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar
C443,ST34,D406,SULTANPUR,Sultanpur
C444,ST34,D407,NORTH EAST DELHI,North East Delhi
C445,ST34,D408,RAMPUR,Rampur
C446,ST34,D408,RAMPUR,Rampur
C447,ST34,D409,FARURUKHABAD,Farurukhabad
C448,ST34,D382,VARANASI,Varanasi
C449,ST34,D410,BALLIA,Ballia
C450,ST34,D411,PHULPUR,Phulpur
C451,ST34,D412,KAUSHAMBI,Kaushambi
C452,ST34,D413,MISRIKH,Misrikh
C453,ST34,D395,RAE BARELI,Rae Bareli
C454,ST34,D414,FATEHPUR SIKRI,Fatehpur Sikri
C455,ST34,D415,LUCKNOW,Lucknow
C456,ST34,D416,ETAH,Etah
C457,ST34,D406,SULTANPUR,Sultanpur
C458,ST34,D403,ETAWAH,Etawah
C459,ST34,D417,BASTI,Basti
C460,ST34,D418,BHADOHI,Bhadohi
C461,ST34,D419,GORAKHPUR,Gorakhpur
C462,ST34,D420,MORADABAD,Moradabad
C463,ST34,D421,FATEHPUR,Fatehpur
C464,ST34,D422,MUZAFFARNAGAR,Muzaffarnagar
C465,ST34,D423,ALIGARH,Aligarh
C466,ST34,D424,JASWANTNAGAR,Jaswantnagar
C467,ST34,D425,ALLAHABAD,Allahabad
C468,ST34,D385,MIRZAPUR,Mirzapur
C469,ST34,D426,BANDA,Banda
C470,ST34,D427,BARABANKI,Barabanki
C471,ST34,D428,KHERI,Kheri
C472,ST34,D418,BHADOHI,Bhadohi
C473,ST34,D429,CHANDAULI,Chandauli
C474,ST34,D430,HARDOI,Hardoi
C475,ST34,D431,SAMBHAL,Sambhal
C476,ST34,D422,MUZAFFARNAGAR,Muzaffarnagar
C477,ST34,D387,MEERUT,Meerut
C478,ST34,D432,BIJNOR,Bijnor
C479,ST34,D433,SITAPUR,Sitapur
C480,ST34,D430,HARDOI,Hardoi
C481,ST34,D413,MISRIKH,Misrikh
C482,ST34,D434,UNNAO,Unnao
C483,ST34,D435,AGRA,Agra
C484,ST34,D436,JHANSI,Jhansi
C485,ST34,D426,BANDA,Banda
C486,ST34,D437,BULANDSHAHR,Bulandshahr
C487,ST34,D437,BULANDSHAHR,Bulandshahr
C488,ST34,D438,KANPUR,Kanpur
C489,ST34,D421,FATEHPUR,Fatehpur
C490,ST34,D425,ALLAHABAD,Allahabad
C491,ST34,D411,PHULPUR,Phulpur
C492,ST34,D426,BANDA,Banda
C493,ST34,D439,SANT KABIR NAGAR,Sant Kabir Nagar
C494,ST34,D387,MEERUT,Meerut
C495,ST34,D440,KUSHI NAGAR,Kushi Nagar
C496,ST34,D441,DEORIA,Deoria
C497,ST34,D410,BALLIA,Ballia
C498,ST34,D442,BANSGAON,Bansgaon
C499,ST34,D393,AZAMGARH,Azamgarh
C500,ST34,D443,LALGANJ,Lalganj
C501,ST34,D444,MACHHLISHAHR,Machhlishahr
C502,ST34,D445,KAISERGANJ,Kaiserganj
C503,ST34,D445,KAISERGANJ,Kaiserganj
C504,ST34,D388,FAIZABAD,Faizabad
C505,ST34,D446,GONDA,Gonda
C506,ST34,D446,GONDA,Gonda
C507,ST34,D447,SHRAWASTI,Shrawasti
C508,ST34,D448,BAHRAICH,Bahraich
C509,ST35,D449,NAINITAL-UDHAMSINGH NAGAR,Nainital-udhamsingh Nagar
C510,ST35,D450,ALMORA,Almora
C511,ST35,D451,GARHWAL,Garhwal
C512,ST35,D452,TEHRI GARHWAL,Tehri Garhwal
C513,ST35,D453,HARIDWAR,Haridwar
C514,ST36,D454,DIAMOND HARBOUR,Diamond Harbour
C515,ST36,D455,BAHARAMPUR,Baharampur
C516,ST36,D456,BOLPUR,Bolpur
C517,ST36,D457,JAMUI,Jamui
C518,ST36,D456,BOLPUR,Bolpur
C519,ST36,D458,GHATAL,Ghatal
C520,ST36,D459,BARDHAMAN-DURGAPUR,Bardhaman-durgapur
C521,ST36,D460,RANAGHAT,Ranaghat
C522,ST36,D461,PURULIA,Purulia
C523,ST36,D462,SREERAMPUR,Sreerampur
C524,ST36,D463,JANGIPUR,Jangipur
C525,ST36,D464,MALDAHA UTTAR,Maldaha Uttar
C526,ST36,D465,KRISHNANAGAR,Krishnanagar
C527,ST36,D466,BALURGHAT,Balurghat
C528,ST36,D467,COOCH BEHAR,Cooch Behar
C529,ST36,D468,TRIPURA WEST,Tripura West
C530,ST36,D469,HOWRAH,Howrah
C531,ST36,D470,DARJEELING,Darjeeling
C532,ST36,D471,TONK-SAWAI MADHOPUR,Tonk-sawai Madhopur
C533,ST36,D472,BIRBHUM,Birbhum
C534,ST36,D473,BISHNUPUR,Bishnupur
C535,ST36,D474,JADAVPUR,Jadavpur
C536,ST36,D475,BANGAON,Bangaon
C537,ST36,D476,ASANSOL,Asansol
C538,ST36,D466,BALURGHAT,Balurghat
C539,ST36,D477,KOLKATA UTTAR,Kolkata Uttar
C540,ST36,D474,JADAVPUR,Jadavpur
C541,ST36,D455,BAHARAMPUR,Baharampur
C542,ST36,D478,BARRACKPORE,Barrackpore
C543,ST36,D459,BARDHAMAN-DURGAPUR,Bardhaman-durgapur
