mp_id,constituency_id,state_id,name,normalized_name,allocated_amount,allocation_quality_flag,source_row
MP035,C035,ST04,RAKIBUL HUSSAIN,Rakibul Hussain,50000000,VALID,36
MP036,C036,ST04,RANJIT DUTTA,Ranjit Dutta,50000000,VALID,37
MP037,C037,ST04,SARBANANDA SONOWAL,Sarbananda Sonowal,50000000,VALID,38
MP038,C038,ST04,AMARSING TISSO,Amarsing Tisso,50000000,VALID,39
MP039,C039,ST04,BIJULI KALITA MEDHI,Bijuli Kalita Medhi,50000000,VALID,40
MP040,C040,ST04,JAYANTA BASUMATARY,Jayanta Basumatary,50000000,VALID,41
MP041,C041,ST04,PHANI BHUSAN CHOUDHURY,Phani Bhusan Choudhury,50000000,VALID,42
MP042,C042,ST05,ABHAY KUMAR SINHA,Abhay Kumar Sinha,50000000,VALID,43
MP043,C043,ST05,ALOK KUMAR SUMAN,Alok Kumar Suman,50000000,VALID,44
MP044,C044,ST05,ASHOK KUMAR YADAV,Ashok Kumar Yadav,50000000,VALID,45
MP045,C045,ST05,CHIRAG PASWAN,Chirag Paswan,50000000,VALID,46
MP046,C046,ST05,DEVESH CHANDRA THAKUR,Devesh Chandra Thakur,50000000,VALID,47
MP047,C047,ST05,DILESHWAR KAMAIT,Dileshwar Kamait,50000000,VALID,48
MP048,C048,ST05,DINESH CHANDRA YADAV,Dinesh Chandra Yadav,50000000,VALID,49
MP049,C049,ST05,GIRIRAJ SINGH,Giriraj Singh,50000000,VALID,50
MP050,C050,ST05,GOPAL JEE THAKUR,Gopal Jee Thakur,50000000,VALID,51
MP051,C051,ST05,JITAN RAM MANJHI,Jitan Ram Manjhi,50000000,VALID,52
MP052,C052,ST05,LALAN SINGH,Lalan Singh,50000000,VALID,53
MP053,C053,ST05,LOVELY ANAND,Lovely Anand,50000000,VALID,54
MP054,C054,ST05,MISA BHARTI,Misa Bharti,50000000,VALID,55
MP055,C055,ST05,MOHAMMAD JAWED,Mohammad Jawed,50000000,VALID,56
MP056,C056,ST05,MUKESH SAHANI,Mukesh Sahani,50000000,VALID,57
MP057,C057,ST05,NITYANAND RAI,Nityanand Rai,50000000,VALID,58
MP058,C058,ST05,PAPPU YADAV,Pappu Yadav,50000000,VALID,59
MP059,C059,ST05,PRADEEP KUMAR SINGH,Pradeep Kumar Singh,50000000,VALID,60
MP060,C060,ST05,RADHA MOHAN SINGH,Radha Mohan Singh,50000000,VALID,61
MP061,C061,ST05,RAJ BHUSHAN CHOUDHARY,Raj Bhushan Choudhary,50000000,VALID,62
MP062,C062,ST05,RAJIV PRATAP RUDY,Rajiv Pratap Rudy,50000000,VALID,63
MP063,C063,ST05,RAM KRIPAL YADAV,Ram Kripal Yadav,50000000,VALID,64
MP064,C064,ST05,RAMPRIT MANDAL,Ramprit Mandal,50000000,VALID,65
MP065,C065,ST05,RAVI SHANKAR PRASAD,Ravi Shankar Prasad,50000000,VALID,66
MP066,C066,ST05,SAMBHAVI CHOUDHARY,Sambhavi Choudhary,50000000,VALID,67
MP067,C067,ST05,SANJAY JAISWAL,Sanjay Jaiswal,50000000,VALID,68
MP068,C068,ST05,SANTOSH KUMAR,Santosh Kumar,50000000,VALID,69
MP069,C069,ST05,SHAMBHAVI CHOUDHARY,Shambhavi Choudhary,50000000,VALID,70
MP070,C070,ST05,SUDAMA PRASAD,Sudama Prasad,50000000,VALID,71
MP071,C071,ST05,SUDHAKAR SINGH,Sudhakar Singh,50000000,VALID,72
MP072,C072,ST05,SURENDRA PRASAD YADAV,Surendra Prasad Yadav,50000000,VALID,73
MP073,C073,ST05,TARIQ ANWAR,Tariq Anwar,50000000,VALID,74
MP074,C074,ST05,VIVEK THAKUR,Vivek Thakur,50000000,VALID,75
MP075,C075,ST05,DULAL CHANDRA GOSWAMI,Dulal Chandra Goswami,50000000,VALID,76
MP076,C076,ST05,SUNIL KUMAR,Sunil Kumar,50000000,VALID,77
MP077,C077,ST05,AJAY KUMAR MANDAL,Ajay Kumar Mandal,50000000,VALID,78
MP078,C078,ST05,GIRIDHARI YADAV,Giridhari Yadav,50000000,VALID,79
MP079,C079,ST05,JANARDAN SINGH SIGRIWAL,Janardan Singh Sigriwal,50000000,VALID,80
MP080,C080,ST05,KAVITA SINGH,Kavita Singh,50000000,VALID,81
MP081,C081,ST05,VEENA DEVI,Veena Devi,50000000,VALID,82
MP082,C082,ST06,MANISH TEWARI,Manish Tewari,50000000,VALID,83
MP083,C083,ST07,BRIJMOHAN AGRAWAL,Brijmohan Agrawal,50000000,VALID,84
MP084,C084,ST07,CHHINTAMANI MAHARAJ,Chhintamani Maharaj,50000000,VALID,85
MP085,C085,ST07,DEVENDRA YADAV,Devendra Yadav,50000000,VALID,86
MP086,C086,ST07,JYOTSNA CHARANDAS MAHANT,Jyotsna Charandas Mahant,50000000,VALID,87
MP087,C087,ST07,KAMLESH JANGDE,Kamlesh Jangde,50000000,VALID,88
MP088,C088,ST07,MAHESH KASHYAP,Mahesh Kashyap,50000000,VALID,89
MP089,C089,ST07,RADHESHYAM RATHIYA,Radheshyam Rathiya,50000000,VALID,90
MP090,C090,ST07,ROOP KUMARI CHOUDHARY,Roop Kumari Choudhary,50000000,VALID,91
MP091,C091,ST07,SANTOSH PANDEY,Santosh Pandey,50000000,VALID,92
MP092,C092,ST07,TOKHAN SAHU,Tokhan Sahu,50000000,VALID,93
MP093,C093,ST07,VIJAY BAGHEL,Vijay Baghel,50000000,VALID,94
MP094,C094,ST08,DELKAR KALABEN MOHANBHAI,Delkar Kalaben Mohanbhai,50000000,VALID,95
MP095,C095,ST08,PATEL UMESHBHOI BABUBHAI,Patel Umeshbhoi Babubhai,50000000,VALID,96
MP096,C096,ST09,BANSURI SWARAJ,Bansuri Swaraj,50000000,VALID,97
MP097,C097,ST09,HARSH MALHOTRA,Harsh Malhotra,50000000,VALID,98
MP098,C098,ST09,KAMALJEET SEHRAWAT,Kamaljeet Sehrawat,50000000,VALID,99
MP099,C099,ST09,MANOJ TIWARI,Manoj Tiwari,50000000,VALID,100
MP100,C100,ST09,PRAVEEN KHANDELWAL,Praveen Khandelwal,50000000,VALID,101
MP101,C101,ST09,RAMVIR SINGH BIDHURI,Ramvir Singh Bidhuri,50000000,VALID,102
MP102,C102,ST09,YOGENDER CHANDOLIYA,Yogender Chandoliya,50000000,VALID,103
MP103,C103,ST10,SHRIPAD YESSO NAIK,Shripad Yesso Naik,50000000,VALID,104
MP104,C104,ST10,VIRIDIANA FERNANDES,Viridiana Fernandes,50000000,VALID,105
MP105,C105,ST11,AMIT SHAH,Amit Shah,50000000,VALID,106
MP106,C106,ST11,BHARATSINHJI DABHI,Bharatsinhji Dabhi,50000000,VALID,107
MP107,C107,ST11,CHANDUBHAI CHHAGANBHAI SHIHORA,Chandubhai Chhaganbhai Shihora,50000000,VALID,108
MP108,C108,ST11,C R PATIL,C R Patil,50000000,VALID,109
MP109,C109,ST11,DEVUSINH CHAUHAN,Devusinh Chauhan,50000000,VALID,110
MP110,C110,ST11,DINESHBHAI MAKWANA,Dineshbhai Makwana,50000000,VALID,111
MP111,C111,ST11,GENIBEN THAKOR,Geniben Thakor,50000000,VALID,112
MP112,C112,ST11,HASMUKHBHAI PATEL,Hasmukhbhai Patel,50000000,VALID,113
MP113,C113,ST11,HEMANG JOSHI,Hemang Joshi,50000000,VALID,114
MP114,C114,ST11,JASHVANTSINH SUMANBHAI BHABHOR,Jashvantsinh Sumanbhai Bhabhor,50000000,VALID,115
MP115,C115,ST11,MANSUKH MANDAVIYA,Mansukh Mandaviya,50000000,VALID,116
MP116,C116,ST11,MUKESHKUMAR CHANDRAKANT DALAL,Mukeshkumar Chandrakant Dalal,50000000,VALID,117
MP117,C117,ST11,NIMUBEN BAMBHANIYA,Nimuben Bambhaniya,50000000,VALID,118
MP118,C118,ST11,PARSHOTTAM RUPALA,Parshottam Rupala,50000000,VALID,119
MP119,C119,ST11,PRABHUBHAI NAGARBHAI VASAVA,Prabhubhai Nagarbhai Vasava,50000000,VALID,120
MP120,C120,ST11,PUNAMBEN MAADAM,Punamben Maadam,50000000,VALID,121
MP121,C121,ST11,RAJESHBHAI CHUDASAMA,Rajeshbhai Chudasama,50000000,VALID,122
MP122,C122,ST11,RAMESHBHAI DHADUK,Rameshbhai Dhaduk,50000000,VALID,123
MP123,C123,ST11,SHOBHANABEN BARAIYA,Shobhanaben Baraiya,50000000,VALID,124
MP124,C124,ST11,VINOD LAKHAMSHI CHAVDA,Vinod Lakhamshi Chavda,50000000,VALID,125
MP125,C125,ST11,MITESH PATEL,Mitesh Patel,50000000,VALID,126
MP126,C126,ST11,DHAVAL PATEL,Dhaval Patel,50000000,VALID,127
MP127,C127,ST11,MANSUKHBHAI VASAVA,Mansukhbhai Vasava,50000000,VALID,128
MP128,C128,ST11,JASWANTSINH PARMAR,Jaswantsinh Parmar,50000000,VALID,129
MP129,C129,ST11,HARIBHAI PATEL,Haribhai Patel,50000000,VALID,130
MP130,C130,ST11,BHARATBHAI SUTARIYA,Bharatbhai Sutariya,50000000,VALID,131
MP131,C131,ST12,DEEPENDER SINGH HOODA,Deepender Singh Hooda,50000000,VALID,132
MP132,C132,ST12,DHARAMBIR SINGH,Dharambir Singh,50000000,VALID,133
MP133,C133,ST12,JAI PARKASH,Jai Parkash,50000000,VALID,134
MP134,C134,ST12,KRISHAN PAL GURJAR,Krishan Pal Gurjar,50000000,VALID,135
MP135,C135,ST12,KUMARI SELJA,Kumari Selja,50000000,VALID,136
MP136,C136,ST12,MANOHAR LAL KHATTAR,Manohar Lal Khattar,50000000,VALID,137
MP137,C137,ST12,NAVEEN JINDAL,Naveen Jindal,50000000,VALID,138
MP138,C138,ST12,RAO INDERJIT SINGH,Rao Inderjit Singh,50000000,VALID,139
MP139,C139,ST12,SATPAL BRAHMACHARI,Satpal Brahmachari,50000000,VALID,140
MP140,C140,ST12,VARUN CHAUDHRY,Varun Chaudhry,50000000,VALID,141
MP141,C141,ST13,ANURAG SINGH THAKUR,Anurag Singh Thakur,50000000,VALID,142
MP142,C142,ST13,KANGANA RANAUT,Kangana Ranaut,50000000,VALID,143
MP143,C143,ST13,RAJEEV BHARDWAJ,Rajeev Bhardwaj,50000000,VALID,144
MP144,C144,ST13,SURESH KUMAR KASHYAP,Suresh Kumar Kashyap,50000000,VALID,145
MP145,C145,ST14,AGA SYED RUHULLAH MEHDI,Aga Syed Ruhullah Mehdi,50000000,VALID,146
MP146,C146,ST14,ENGINEER RASHID,Engineer Rashid,50000000,VALID,147
MP147,C147,ST14,JITENDRA SINGH,Jitendra Singh,50000000,VALID,148
MP148,C148,ST14,JUGAL KISHORE SHARMA,Jugal Kishore Sharma,50000000,VALID,149
MP149,C149,ST14,MIAN ALTAF AHMAD,Mian Altaf Ahmad,50000000,VALID,150
MP150,C150,ST15,ANNAPURNA DEVI,Annapurna Devi,50000000,VALID,151
MP151,C151,ST15,BIDYUT BARAN MAHATO,Bidyut Baran Mahato,50000000,VALID,152
MP152,C152,ST15,DHULU MAHTO,Dhulu Mahto,50000000,VALID,153
MP153,C153,ST15,JOBHA MANJHI,Jobha Manjhi,50000000,VALID,154
MP154,C154,ST15,KALICHARAN SINGH,Kalicharan Singh,50000000,VALID,155
MP155,C155,ST15,MANISH JAISWAL,Manish Jaiswal,50000000,VALID,156
MP156,C156,ST15,NALIN SOREN,Nalin Soren,50000000,VALID,157
MP157,C157,ST15,NISHIKANT DUBEY,Nishikant Dubey,50000000,VALID,158
MP158,C158,ST15,SANJAY SETH,Sanjay Seth,50000000,VALID,159
MP159,C159,ST15,SUKHDEO BHAGAT,Sukhdeo Bhagat,50000000,VALID,160
MP160,C160,ST15,VIJAY KUMAR HANSDAK,Vijay Kumar Hansdak,50000000,VALID,161
MP161,C161,ST15,VISHNU DAYAL RAM,Vishnu Dayal Ram,50000000,VALID,162
MP162,C162,ST15,CHANDRAPRAKASH CHOUDHARY,Chandraprakash Choudhary,50000000,VALID,163
MP163,C163,ST15,KALI CHARAN MUNDA,Kali Charan Munda,50000000,VALID,164
MP164,C164,ST16,BASAVARAJ BOMMAI,Basavaraj Bommai,50000000,VALID,165
MP165,C165,ST16,B Y RAGHAVENDRA,B Y Raghavendra,50000000,VALID,166
MP166,C166,ST16,C N MANJUNATH,C N Manjunath,50000000,VALID,167
MP167,C167,ST16,E T MOHAMMED BASHEER,E T Mohammed Basheer,50000000,VALID,168
MP168,C168,ST16,GOVIND KARJOL,Govind Karjol,50000000,VALID,169
MP169,C169,ST16,H D KUMARASWAMY,H D Kumaraswamy,50000000,VALID,170
MP170,C170,ST16,JAGADISH SHETTAR,Jagadish Shettar,50000000,VALID,171
MP171,C171,ST16,K SUDHAKAR,K Sudhakar,50000000,VALID,172
MP172,C172,ST16,M MALLIKARJUN KHARGE,M Mallikarjun Kharge,50000000,VALID,173
MP173,C173,ST16,MALIKARJUN KHARGE,Malikarjun Kharge,50000000,VALID,174
MP174,C174,ST16,PRAHLAD JOSHI,Prahlad Joshi,50000000,VALID,175
MP175,C175,ST16,RADHAKRISHNA DODDAMANI,Radhakrishna Doddamani,50000000,VALID,176
MP176,C176,ST16,S MUNISWAMY,S Muniswamy,50000000,VALID,177
MP177,C177,ST16,SHOBHA KARANDLAJE,Shobha Karandlaje,50000000,VALID,178
MP178,C178,ST16,TEJASVI SURYA,Tejasvi Surya,50000000,VALID,179
MP179,C179,ST16,V SOMANNA,V Somanna,50000000,VALID,180
MP180,C180,ST16,VISHWESHWAR HEGDE KAGERI,Vishweshwar Hegde Kageri,50000000,VALID,181
MP181,C181,ST16,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Yaduveer Krishnadatta Chamaraja Wadiyar,50000000,VALID,182
MP182,C182,ST16,G M SIDDESHWAR,G M Siddeshwar,50000000,VALID,183
MP183,C183,ST16,PRABHAKAR KORE,Prabhakar Kore,50000000,VALID,184
MP184,C184,ST16,P C MOHAN,P C Mohan,50000000,VALID,185
MP185,C185,ST16,RAMESH JIGAJINAGI,Ramesh Jigajinagi,50000000,VALID,186
MP186,C186,ST16,KUMAR BANGARAPPA,Kumar Bangarappa,50000000,VALID,187
MP187,C187,ST16,KOTA SRINIVAS POOJARY,Kota Srinivas Poojary,50000000,VALID,188
MP188,C188,ST16,BRIJESH CHOWTA,Brijesh Chowta,50000000,VALID,189
MP189,C189,ST16,SHREYAS M PATEL,Shreyas M Patel,50000000,VALID,190
MP190,C190,ST16,G KUMAR NAIK,G Kumar Naik,50000000,VALID,191
MP191,C191,ST16,TUKARAM E,Tukaram E,50000000,VALID,192
MP192,C192,ST17,A M ARIFF,A M Ariff,50000000,VALID,193
MP193,C193,ST17,ANTO ANTONY,Anto Antony,50000000,VALID,194
MP194,C194,ST17,DEAN KURIAKOSE,Dean Kuriakose,50000000,VALID,195
MP195,C195,ST17,E T MOHAMMED BASHEER,E T Mohammed Basheer,50000000,VALID,196
MP196,C196,ST17,HIBI EDEN,Hibi Eden,50000000,VALID,197
MP197,C197,ST17,K C VENUGOPAL,K C Venugopal,50000000,VALID,198
MP198,C198,ST17,K FRANCIS GEORGE,K Francis George,50000000,VALID,199
MP199,C199,ST17,K MURALEEDHARAN,K Muraleedharan,50000000,VALID,200
MP200,C200,ST17,K RADHAKRISHNAN,K Radhakrishnan,50000000,VALID,201
MP201,C201,ST17,K SUDHAKARAN,K Sudhakaran,50000000,VALID,202
MP202,C202,ST17,M K RAGHAVAN,M K Raghavan,50000000,VALID,203
MP203,C203,ST17,N K PREMACHANDRAN,N K Premachandran,50000000,VALID,204
MP204,C204,ST17,RAJMOHAN UNNITHAN,Rajmohan Unnithan,50000000,VALID,205
MP205,C205,ST17,SHAFI PARAMBIL,Shafi Parambil,50000000,VALID,206
MP206,C206,ST17,SHASHI THAROOR,Shashi Tharoor,50000000,VALID,207
MP207,C207,ST17,SURESH GOPI,Suresh Gopi,50000000,VALID,208
MP208,C208,ST17,V K SREEKANDAN,V K Sreekandan,50000000,VALID,209
MP209,C209,ST17,KODIKUNNIL SURESH,Kodikunnil Suresh,50000000,VALID,210
MP210,C210,ST17,M P ABDUSSAMAD SAMADANI,M P Abdussamad Samadani,50000000,VALID,211
MP211,C211,ST17,PRIYANKA GANDHI VADRA,Priyanka Gandhi Vadra,50000000,VALID,212
MP212,C212,ST18,MOHMAD HANEEFA,Mohmad Haneefa,50000000,VALID,213
MP213,C213,ST19,MUHAMMED HAMDULLAH SAYEED,Muhammed Hamdullah Sayeed,50000000,VALID,214
MP214,C214,ST20,ALOK SHARMA,Alok Sharma,50000000,VALID,215
MP215,C215,ST20,ANIL FIROJIYA,Anil Firojiya,50000000,VALID,216
MP216,C216,ST20,ASHISH DUBEY,Ashish Dubey,50000000,VALID,217
MP217,C217,ST20,BHARAT SINGH KUSHWAH,Bharat Singh Kushwah,50000000,VALID,218
MP218,C218,ST20,DARSHITA SINGH,Darshita Singh,50000000,VALID,219
MP219,C219,ST20,GAJENDRA PATEL,Gajendra Patel,50000000,VALID,220
MP220,C220,ST20,HIMADRI SINGH,Himadri Singh,50000000,VALID,221
MP221,C221,ST20,JYOTIRADITYA SCINDIA,Jyotiraditya Scindia,50000000,VALID,222
MP222,C222,ST20,KANGANA YADAV,Kangana Yadav,50000000,VALID,223
MP223,C223,ST20,LATA WANKHEDE,Lata Wankhede,50000000,VALID,224
MP224,C224,ST20,MAHENDRA SINGH SOLANKI,Mahendra Singh Solanki,50000000,VALID,225
MP225,C225,ST20,MANSHANKAR RAWAT,Manshankar Rawat,50000000,VALID,226
MP226,C226,ST20,RAKESH SINGH,Rakesh Singh,50000000,VALID,227
MP227,C227,ST20,RODMAL NAGAR,Rodmal Nagar,50000000,VALID,228
MP228,C228,ST20,SANDHYA RAY,Sandhya Ray,50000000,VALID,229
MP229,C229,ST20,SAVITRI THAKUR,Savitri Thakur,50000000,VALID,230
MP230,C230,ST20,SHANKAR LALWANI,Shankar Lalwani,50000000,VALID,231
MP231,C231,ST20,SHIVRAJ SINGH CHOUHAN,Shivraj Singh Chouhan,50000000,VALID,232
MP232,C232,ST20,SUDHIR GUPTA,Sudhir Gupta,50000000,VALID,233
MP233,C233,ST20,VIRENDRA KUMAR,Virendra Kumar,50000000,VALID,234
MP234,C234,ST20,V D SHARMA,V D Sharma,50000000,VALID,235
MP235,C235,ST20,DURGADAS UIKEY,Durgadas Uikey,50000000,VALID,236
MP236,C236,ST20,FAGGAN SINGH KULASTE,Faggan Singh Kulaste,50000000,VALID,237
MP237,C237,ST20,JANARDAN MISHRA,Janardan Mishra,50000000,VALID,238
MP238,C238,ST20,GANESH SINGH,Ganesh Singh,50000000,VALID,239
MP239,C239,ST20,RAJESH MISHRA,Rajesh Mishra,50000000,VALID,240
MP240,C240,ST20,BUNTY VIVEK SAHU,Bunty Vivek Sahu,50000000,VALID,241
MP241,C241,ST20,BHARTI PARDHI,Bharti Pardhi,50000000,VALID,242
MP242,C242,ST20,DARSHAN SINGH CHOUDHARY,Darshan Singh Choudhary,50000000,VALID,243
MP243,C243,ST21,AMOL GAJANAN KIRTIKAR,Amol Gajanan Kirtikar,50000000,VALID,244
MP244,C244,ST21,ANUP SANJAY DHOTRE,Anup Sanjay Dhotre,50000000,VALID,245
MP245,C245,ST21,ARVIND SAWANT,Arvind Sawant,50000000,VALID,246
MP246,C246,ST21,BALWANT BASWANT WANKHADE,Balwant Baswant Wankhade,50000000,VALID,247
MP247,C247,ST21,BHAUSAHEB RAJARAM WAKCHAURE,Bhausaheb Rajaram Wakchaure,50000000,VALID,248
MP248,C248,ST21,CHANDRAKANT KHARE,Chandrakant Khare,50000000,VALID,249
MP249,C249,ST21,CHAVAN VASANTRAO BALWANTRAO,Chavan Vasantrao Balwantrao,,MISSING_SOURCE_VALUE,250
MP250,C250,ST21,DHANANJAY MAHADIK,Dhananjay Mahadik,50000000,VALID,251
MP251,C251,ST21,DHAIRYASHEEL MOHITE PATIL,Dhairyasheel Mohite Patil,50000000,VALID,252
MP252,C252,ST21,GOWAL KAGADA PADVI,Gowal Kagada Padvi,50000000,VALID,253
MP253,C253,ST21,HEMANT VISHNU SAVARA,Hemant Vishnu Savara,50000000,VALID,254
MP254,C254,ST21,KALYANRAO PATIL,Kalyanrao Patil,50000000,VALID,255
MP255,C255,ST21,KALYAN JADHAV,Kalyan Jadhav,50000000,VALID,256
MP256,C256,ST21,MEDHA VISHRAM KULKARNI,Medha Vishram Kulkarni,50000000,VALID,257
MP257,C257,ST21,MURLIDHAR MOHOL,Murlidhar Mohol,50000000,VALID,258
MP258,C258,ST21,NANA PATOLE,Nana Patole,50000000,VALID,259
MP259,C259,ST21,NARESH GANPAT MHASKE,Naresh Ganpat Mhaske,50000000,VALID,260
MP260,C260,ST21,NITIN GADKARI,Nitin Gadkari,50000000,VALID,261
MP261,C261,ST21,OMPRAKASH RAJENIMBALKAR,Omprakash Rajenimbalkar,50000000,VALID,262
MP262,C262,ST21,PIYUSH GOYAL,Piyush Goyal,50000000,VALID,263
MP263,C263,ST21,PRANITI SHINDE,Praniti Shinde,50000000,VALID,264
MP264,C264,ST21,PRATIBHA DHANORKAR,Pratibha Dhanorkar,50000000,VALID,265
MP265,C265,ST21,PRAVEEN PATEL,Praveen Patel,50000000,VALID,266
MP266,C266,ST21,RAHUL SHEWALE,Rahul Shewale,50000000,VALID,267
MP267,C267,ST21,RAJAN VICHARE,Rajan Vichare,50000000,VALID,268
MP268,C268,ST21,SANJAY DINA PATIL,Sanjay Dina Patil,50000000,VALID,269
MP269,C269,ST21,SANJAYKAKA PATIL,Sanjaykaka Patil,50000000,VALID,270
MP270,C270,ST21,SANJAY UTTAMRAO DESHMUKH,Sanjay Uttamrao Deshmukh,50000000,VALID,271
MP271,C271,ST21,SHAILESH JADHAV,Shailesh Jadhav,50000000,VALID,272
MP272,C272,ST21,SHIVAJIRAO KALGE,Shivajirao Kalge,50000000,VALID,273
MP273,C273,ST21,SHRIKANT SHINDE,Shrikant Shinde,50000000,VALID,274
MP274,C274,ST21,SHRINGARE SUDHAKAR TUKARAM,Shringare Sudhakar Tukaram,50000000,VALID,275
MP275,C275,ST21,SMITA WAGH,Smita Wagh,50000000,VALID,276
MP276,C276,ST21,SUNIL TATKARE,Sunil Tatkare,50000000,VALID,277
MP277,C277,ST21,SUPRIYA SULE,Supriya Sule,50000000,VALID,278
MP278,C278,ST21,SURESH DHANORKAR,Suresh Dhanorkar,50000000,VALID,279
MP279,C279,ST21,UDAYANRAJE BHOSALE,Udayanraje Bhosale,50000000,VALID,280
MP280,C280,ST21,VARSHA GAIKWAD,Varsha Gaikwad,50000000,VALID,281
MP281,C281,ST21,VIKAS THAKRE,Vikas Thakre,50000000,VALID,282
MP282,C282,ST21,VISHAL PATIL,Vishal Patil,50000000,VALID,283
MP283,C283,ST21,ANIL DESAI,Anil Desai,50000000,VALID,284
MP284,C284,ST21,BHASKAR BHAGARE,Bhaskar Bhagare,50000000,VALID,285
MP285,C285,ST21,SHOBHA BACHHAV,Shobha Bachhav,50000000,VALID,286
MP286,C286,ST21,RAJA BHAU WAJE,Raja Bhau Waje,50000000,VALID,287
MP287,C287,ST21,KALYAN KALE,Kalyan Kale,50000000,VALID,288
MP288,C288,ST21,NAGESH PATIL ASHTIKAR,Nagesh Patil Ashtikar,50000000,VALID,289
MP289,C289,ST21,BAJRANG SONWANE,Bajrang Sonwane,50000000,VALID,290
MP290,C290,ST21,NILESH LANKE,Nilesh Lanke,50000000,VALID,291
MP291,C291,ST22,ALFRED KANNGAM S ARTHUR,Alfred Kanngam S Arthur,50000000,VALID,292
MP292,C292,ST22,ANGOCHA THOUDAM,Angocha Thoudam,50000000,VALID,293
MP293,C293,ST23,RICKY ANDREW J SYNGKON,Ricky Andrew J Syngkon,50000000,VALID,294
MP294,C294,ST23,SALENG A SANGMA,Saleng A Sangma,50000000,VALID,295
MP295,C295,ST24,RICHARD VANLALHMANGIAIHA,Richard Vanlalhmangiaiha,50000000,VALID,296
MP296,C296,ST25,S SUPONGMEREN JAMIR,S Supongmeren Jamir,50000000,VALID,297
MP297,C297,ST26,ANANTA NAYAK,Ananta Nayak,50000000,VALID,298
MP298,C298,ST26,APARAJITA SARANGI,Aparajita Sarangi,50000000,VALID,299
MP299,C299,ST26,BAIJOYANT PANDA,Baijoyant Panda,50000000,VALID,300
MP300,C300,ST26,BALABHADRA MAJHI,Balabhadra Majhi,50000000,VALID,301
