payment_id,project_id,payment_date,payment_amount,cumulative_payment,payment_status,milestone_description,voucher_no
PAY000042,P10020,2026-04-15,1115000,1115000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-78527
PAY000043,P10020,2026-05-15,1115000,2230000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-22291
PAY000044,P10020,2026-06-14,1115000,3345000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-53810
PAY000045,P10020,2026-07-14,1115000,4460000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-81139
PAY000046,P10021,2025-09-10,1170000,1170000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-99938
PAY000047,P10021,2025-10-10,1170000,2340000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-84883
PAY000048,P10021,2025-11-09,1170000,3510000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-96749
PAY000049,P10021,2025-12-09,1170000,4680000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-33592
PAY000050,P10024,2024-10-07,386400,386400,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2024-63738
PAY000051,P10024,2024-11-06,386400,772800,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2024-76530
PAY000052,P10025,2025-12-26,876000,876000,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2025-39625
PAY000053,P10025,2026-01-25,876000,1752000,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2025-84732
PAY000054,P10026,2026-03-16,897500,897500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-63530
PAY000055,P10026,2026-04-15,897500,1795000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-39586
PAY000056,P10026,2026-05-15,897500,2692500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-85897
PAY000057,P10026,2026-06-14,897500,3590000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-80518
PAY000058,P10027,2025-05-04,7177500,7177500,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2025-56961
PAY000059,P10027,2025-06-03,7177500,14355000,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2025-43595
PAY000060,P10028,2024-11-08,1404200,1404200,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2024-35316
PAY000061,P10028,2024-12-08,1404200,2808400,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2024-56464
PAY000062,P10029,2026-11-04,804300,804300,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-13463
PAY000063,P10029,2026-12-04,804300,1608600,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-21625
PAY000064,P10029,2027-01-03,804300,2412900,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-70320
PAY000065,P10029,2027-02-02,804300,3217200,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-10936
PAY000066,P10030,2026-05-16,742500,742500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-73902
PAY000067,P10030,2026-06-15,742500,1485000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-21578
PAY000068,P10030,2026-07-15,742500,2227500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-78953
PAY000069,P10030,2026-08-14,742500,2970000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-27417
PAY000070,P10031,2026-10-24,1112800,1112800,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2026-37378
PAY000071,P10032,2024-03-15,480000,480000,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2024-95858
PAY000072,P10032,2024-04-14,480000,960000,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2024-28094
PAY000073,P10033,2025-02-02,1522500,1522500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-15226
PAY000074,P10033,2025-03-04,1522500,3045000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-43967
PAY000075,P10033,2025-04-03,1522500,4567500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-65185
PAY000076,P10033,2025-05-03,1522500,6090000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-43603
PAY000077,P10034,2026-11-16,1582500,1582500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-29484
PAY000078,P10034,2026-12-16,1582500,3165000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-88573
PAY000079,P10034,2027-01-15,1582500,4747500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-39305
PAY000080,P10034,2027-02-14,1582500,6330000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-76402
PAY000081,P10035,2025-05-12,807500,807500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-16034
PAY000082,P10035,2025-06-11,807500,1615000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-87970
PAY000083,P10035,2025-07-11,807500,2422500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-10716
PAY000084,P10035,2025-08-10,807500,3230000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-28994
PAY000085,P10036,2025-06-20,351850,351850,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2025-61918
PAY000086,P10036,2025-07-20,351850,703700,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2025-73877
PAY000087,P10037,2025-02-03,745000,745000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-56009
PAY000088,P10037,2025-03-05,745000,1490000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-11139
PAY000089,P10037,2025-04-04,745000,2235000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-95412
PAY000090,P10037,2025-05-04,745000,2980000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-23552
PAY000091,P10038,2024-04-18,1110900,1110900,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2024-13698
PAY000092,P10038,2024-05-18,1110900,2221800,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2024-50518
PAY000093,P10039,2024-10-28,1832500,1832500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-75150
PAY000094,P10039,2024-11-27,1832500,3665000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-23474
PAY000095,P10039,2024-12-27,1832500,5497500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-79276
PAY000096,P10039,2025-01-26,1832500,7330000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-57276
PAY000097,P10040,2026-07-31,997500,997500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-80658
PAY000098,P10040,2026-08-30,997500,1995000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-44330
PAY000099,P10040,2026-09-29,997500,2992500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-14645
PAY000100,P10040,2026-10-29,997500,3990000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-36326
PAY000101,P10041,2024-08-16,1577500,1577500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-13458
PAY000102,P10041,2024-09-15,1577500,3155000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-64977
PAY000103,P10041,2024-10-15,1577500,4732500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-82306
PAY000104,P10041,2024-11-14,1577500,6310000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-70167
PAY000105,P10042,2026-03-14,748000,748000,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2026-61300
PAY000106,P10045,2027-01-02,1447600,1447600,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2026-34904
PAY000107,P10045,2027-02-01,1447600,2895200,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2026-97696
PAY000108,P10046,2026-04-29,1518000,1518000,PROCESSED,Milestone Tranche 1/1 - Inspection Phase,VCH-2026-25898
PAY000109,P10047,2026-05-04,1020600,1020600,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-97064
PAY000110,P10047,2026-06-03,1020600,2041200,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-81684
PAY000111,P10047,2026-07-03,1020600,3061800,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-49337
PAY000112,P10047,2026-08-02,1020600,4082400,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-61412
PAY000113,P10048,2026-10-24,555550,555550,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2026-43596
PAY000114,P10048,2026-11-23,555550,1111100,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2026-26017
PAY000115,P10049,2025-01-16,515000,515000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-76483
PAY000116,P10049,2025-02-15,515000,1030000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-87631
PAY000117,P10049,2025-03-17,515000,1545000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-10145
PAY000118,P10049,2025-04-16,515000,2060000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-35414
PAY000119,P10050,2026-09-02,944000,944000,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2026-31487
PAY000120,P10050,2026-10-02,944000,1888000,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2026-82103
PAY000121,P10051,2025-07-08,430000,430000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-55068
PAY000122,P10051,2025-08-07,430000,860000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-82744
PAY000123,P10051,2025-09-06,430000,1290000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-10120
PAY000124,P10051,2025-10-06,430000,1720000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-68583
PAY000125,P10053,2024-05-29,1382500,1382500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-71884
PAY000126,P10053,2024-06-28,1382500,2765000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-64514
PAY000127,P10053,2024-07-28,1382500,4147500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-96287
PAY000128,P10053,2024-08-27,1382500,5530000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-61927
PAY000129,P10054,2026-03-30,1472500,1472500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-87809
PAY000130,P10054,2026-04-29,1472500,2945000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-40786
PAY000131,P10054,2026-05-29,1472500,4417500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-82073
PAY000132,P10054,2026-06-28,1472500,5890000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-66393
PAY000133,P10057,2025-01-02,1357800,1357800,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-72789
PAY000134,P10057,2025-02-01,1357800,2715600,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-22780
PAY000135,P10057,2025-03-03,1357800,4073400,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-10248
PAY000136,P10057,2025-04-02,1357800,5431200,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-89915
PAY000137,P10058,2024-10-06,1577400,1577400,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-40617
PAY000138,P10058,2024-11-05,1577400,3154800,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-43965
PAY000139,P10058,2024-12-05,1577400,4732200,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-40067
PAY000140,P10058,2025-01-04,1577400,6309600,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-56979
PAY000141,P10059,2025-11-25,1455000,1455000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-23278
PAY000142,P10059,2025-12-25,1455000,2910000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-52806
PAY000143,P10059,2026-01-24,1455000,4365000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-14256
PAY000144,P10059,2026-02-23,1455000,5820000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-15682
PAY000145,P10060,2026-03-09,4894500,4894500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-18236
PAY000146,P10060,2026-04-08,4894500,9789000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-46676
PAY000147,P10060,2026-05-08,4894500,14683500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-58982
PAY000148,P10060,2026-06-07,4894500,19578000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-36543
PAY000149,P10061,2024-09-19,505875,505875,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-53449
PAY000150,P10061,2024-10-19,505875,1011750,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-48856
PAY000151,P10061,2024-11-18,505875,1517625,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-86741
PAY000152,P10061,2024-12-18,505875,2023500,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-11825
PAY000153,P10062,2025-05-16,392275,392275,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-50860
PAY000154,P10062,2025-06-15,392275,784550,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-94625
PAY000155,P10062,2025-07-15,392275,1176825,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-76143
PAY000156,P10062,2025-08-14,392275,1569100,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-83472
PAY000157,P10063,2025-04-06,1403600,1403600,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2025-59082
PAY000158,P10063,2025-05-06,1403600,2807200,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2025-65925
PAY000159,P10064,2025-06-18,825000,825000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-12099
PAY000160,P10064,2025-07-18,825000,1650000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-26812
PAY000161,P10064,2025-08-17,825000,2475000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-75669
PAY000162,P10064,2025-09-16,825000,3300000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-83392
PAY000163,P10066,2024-12-09,1642500,1642500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-70766
PAY000164,P10066,2025-01-08,1642500,3285000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-22656
PAY000165,P10066,2025-02-07,1642500,4927500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-24800
PAY000166,P10066,2025-03-09,1642500,6570000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-75254
PAY000167,P10067,2025-01-05,290500,290500,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2024-58363
PAY000168,P10067,2025-02-04,290500,581000,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2024-40831
PAY000169,P10068,2024-11-27,520000,520000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-17130
PAY000170,P10068,2024-12-27,520000,1040000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-18880
PAY000171,P10068,2025-01-26,520000,1560000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-99219
PAY000172,P10068,2025-02-25,520000,2080000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-56201
PAY000173,P10069,2024-08-04,1827500,1827500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-91249
PAY000174,P10069,2024-09-03,1827500,3655000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-91680
PAY000175,P10069,2024-10-03,1827500,5482500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-49866
PAY000176,P10069,2024-11-02,1827500,7310000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-23861
PAY000177,P10070,2026-11-24,959850,959850,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-82804
PAY000178,P10070,2026-12-24,959850,1919700,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-26314
PAY000179,P10070,2027-01-23,959850,2879550,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-29523
PAY000180,P10070,2027-02-22,959850,3839400,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-83819
PAY000181,P10071,2025-11-27,1357300,1357300,PROCESSED,Milestone Tranche 1/2 - Inspection Phase,VCH-2025-20447
PAY000182,P10071,2025-12-27,1357300,2714600,PROCESSED,Milestone Tranche 2/2 - Inspection Phase,VCH-2025-95091
PAY000183,P10073,2026-12-27,962500,962500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-19711
PAY000184,P10073,2027-01-26,962500,1925000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-88522
PAY000185,P10073,2027-02-25,962500,2887500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-15643
PAY000186,P10073,2027-03-27,962500,3850000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-45796
PAY000187,P10074,2025-08-11,558700,558700,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-91220
PAY000188,P10074,2025-09-10,558700,1117400,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-92554
PAY000189,P10074,2025-10-10,558700,1676100,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-77476
PAY000190,P10074,2025-11-09,558700,2234800,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-54041
PAY000191,P10075,2026-08-13,980000,980000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-36589
PAY000192,P10075,2026-09-12,980000,1960000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-21604
PAY000193,P10075,2026-10-12,980000,2940000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-49373
PAY000194,P10075,2026-11-11,980000,3920000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-27952
PAY000195,P10077,2024-10-11,1465000,1465000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2024-20303
PAY000196,P10077,2024-11-10,1465000,2930000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2024-13049
PAY000197,P10077,2024-12-10,1465000,4395000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2024-41327
PAY000198,P10077,2025-01-09,1465000,5860000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2024-76527
PAY000199,P10078,2026-04-06,1366750,1366750,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-26210
PAY000200,P10078,2026-05-06,1366750,2733500,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-54257
PAY000201,P10078,2026-06-05,1366750,4100250,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-96447
PAY000202,P10078,2026-07-05,1366750,5467000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-17503
PAY000203,P10079,2025-10-06,795000,795000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-95885
PAY000204,P10079,2025-11-05,795000,1590000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-99279
PAY000205,P10079,2025-12-05,795000,2385000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-75983
PAY000206,P10079,2026-01-04,795000,3180000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-30719
PAY000207,P10080,2026-11-12,440000,440000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2026-62851
PAY000208,P10080,2026-12-12,440000,880000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2026-24092
PAY000209,P10080,2027-01-11,440000,1320000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2026-67810
PAY000210,P10080,2027-02-10,440000,1760000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2026-68728
PAY000211,P10081,2025-12-09,877500,877500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-99609
PAY000212,P10081,2026-01-08,877500,1755000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-91198
PAY000213,P10081,2026-02-07,877500,2632500,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-64430
PAY000214,P10081,2026-03-09,877500,3510000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-34027
PAY000215,P10082,2025-03-09,728000,728000,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-99119
PAY000216,P10082,2025-04-08,728000,1456000,PROCESSED,Milestone Tranche 2/4 - Inspection Phase,VCH-2025-26818
PAY000217,P10082,2025-05-08,728000,2184000,PROCESSED,Milestone Tranche 3/4 - Inspection Phase,VCH-2025-39494
PAY000218,P10082,2025-06-07,728000,2912000,PROCESSED,Milestone Tranche 4/4 - Inspection Phase,VCH-2025-41870
PAY000219,P10083,2026-01-03,1022500,1022500,PROCESSED,Milestone Tranche 1/4 - Inspection Phase,VCH-2025-76502
