district_id,state_id,name,normalized_name
D264,ST21,JALNA,Jalna
D265,ST21,BEED,Beed
D266,ST21,AHMEDNAGAR,Ahmednagar
D267,ST22,OUTER MANIPUR,Outer Manipur
D268,ST22,INNER MANIPUR,Inner Manipur
D269,ST23,SHILLONG,Shillong
D270,ST23,TURA,Tura
D271,ST24,MIZORAM,Mizoram
D272,ST25,NAGALAND,Nagaland
D273,ST26,KEONJHAR,Keonjhar
D274,ST26,BHUBANESWAR,Bhubaneswar
D275,ST26,KENDRAPARA,Kendrapara
D276,ST26,NABARANGPUR,Nabarangpur
D277,ST26,CUTTACK,Cuttack
D278,ST26,JAGATSINGHPUR,Jagatsinghpur
D279,ST26,SAMBALPUR,Sambalpur
D280,ST26,SUNDARGARH,Sundargarh
D281,ST26,KALAHANDI,Kalahandi
D282,ST26,DHENKANAL,Dhenkanal
D283,ST26,BARGARH,Bargarh
D284,ST26,BALASORE,Balasore
D285,ST26,JAJPUR,Jajpur
D286,ST26,PURI,Puri
D287,ST26,BOLANGIR,Bolangir
D288,ST26,KORAPUT,Koraput
D289,ST26,KANDHAMAL,Kandhamal
D290,ST26,ASKA,Aska
D291,ST26,BERHAMPUR,Berhampur
D292,ST26,BHADRAK,Bhadrak
D293,ST27,PUDUCHERRY,Puducherry
D294,ST28,FATEHGARH SAHIB,Fatehgarh Sahib
D295,ST28,KHADOOR SAHIB,Khadoor Sahib
D296,ST28,JALANDHAR,Jalandhar
D297,ST28,PATIALA,Patiala
D298,ST28,AMRITSAR,Amritsar
D299,ST28,BATHINDA,Bathinda
D300,ST28,ANANDPUR SAHIB,Anandpur Sahib
D301,ST28,SANGRUR,Sangrur
D302,ST28,LUDHIANA,Ludhiana
D303,ST28,HOSHIARPUR,Hoshiarpur
D304,ST28,FARIDKOT,Faridkot
D305,ST28,FIROZPUR,Firozpur
D306,ST29,AJMER,Ajmer
D307,ST29,KARAULI-DHOLPUR,Karauli-dholpur
D308,ST29,JHUNJHUNU,Jhunjhunu
D309,ST29,CHITTORGARH,Chittorgarh
D310,ST29,TONK-SAWAI MADHOPUR,Tonk-sawai Madhopur
D311,ST29,JODHPUR,Jodhpur
D312,ST29,NAGAUR,Nagaur
D313,ST29,JALORE,Jalore
D314,ST29,RAJSAMAND,Rajsamand
D315,ST29,JAIPUR,Jaipur
D316,ST29,UDAIPUR,Udaipur
D317,ST29,DAUSA,Dausa
D318,ST29,KOTA,Kota
D319,ST29,PALI,Pali
D320,ST29,CHURU,Churu
D321,ST29,BANSWARA,Banswara
D322,ST29,BHARATPUR,Bharatpur
D323,ST29,BHILWARA,Bhilwara
D324,ST29,BARMER,Barmer
D325,ST29,BIKANER,Bikaner
D326,ST29,GANGANAGAR,Ganganagar
D327,ST29,SIKAR,Sikar
D328,ST29,ALWAR,Alwar
D329,ST29,JHALAWAR-BARAN,Jhalawar-baran
D330,ST30,SIKKIM,Sikkim
D331,ST31,NILGIRIS,Nilgiris
D332,ST31,TIRUNELVELI,Tirunelveli
D333,ST31,CHENNAI CENTRAL,Chennai Central
D334,ST31,VELLORE,Vellore
D335,ST31,TIRUCHIRAPPALLI,Tiruchirappalli
D336,ST31,COIMBATORE,Coimbatore
D337,ST31,KARUR,Karur
D338,ST31,SALEM,Salem
D339,ST31,THOOTHUKKUDI,Thoothukkudi
D340,ST31,SIVAGANGA,Sivaganga
D341,ST31,VIRUDHUNAGAR,Virudhunagar
D342,ST31,RAMANATHAPURAM,Ramanathapuram
D343,ST31,DINDIGUL,Dindigul
D344,ST31,CHENNAI NORTH,Chennai North
D345,ST31,ARAKKONAM,Arakkonam
D346,ST31,MADURAI,Madurai
D347,ST31,TIRUVALLUR,Tiruvallur
D348,ST31,SRIPERUMBUDUR,Sriperumbudur
D349,ST31,CHENNAI SOUTH,Chennai South
D350,ST31,CHIDAMBARAM,Chidambaram
D351,ST31,KANNIYAKUMARI,Kanniyakumari
D352,ST31,KRISHNAGIRI,Krishnagiri
D353,ST31,DHARMAPURI,Dharmapuri
D354,ST31,ERODE,Erode
D355,ST31,TIRUPPUR,Tiruppur
D356,ST31,TIRUVANNAMALAI,Tiruvannamalai
D357,ST31,KALLAKURICHI,Kallakurichi
D358,ST31,ARANI,Arani
D359,ST31,CUDDALORE,Cuddalore
D360,ST31,THANJAVUR,Thanjavur
D361,ST31,MAYILADUTHURAI,Mayiladuthurai
D362,ST31,NAGAPATTINAM,Nagapattinam
D363,ST31,VILUPPURAM,Viluppuram
D364,ST32,HYDERABAD,Hyderabad
D365,ST32,KARIMNAGAR,Karimnagar
D366,ST32,BHONGIR,Bhongir
D367,ST32,MAHBUBNAGAR,Mahbubnagar
D368,ST32,MAHABUBABAD,Mahabubabad
D369,ST32,MALKAJGIRI,Malkajgiri
D370,ST32,SECUNDERABAD,Secunderabad
D371,ST32,WARANGAL,Warangal
D372,ST32,CHEVALLA,Chevalla
D373,ST32,NALGONDA,Nalgonda
D374,ST32,MEDAK,Medak
D375,ST32,KHAMMAM,Khammam
D376,ST32,ADILABAD,Adilabad
D377,ST32,PEDDAPALLE,Peddapalle
D378,ST32,NIZAMABAD,Nizamabad
D379,ST33,TRIPURA EAST,Tripura East
D380,ST33,TRIPURA WEST,Tripura West
D381,ST34,GHAZIPUR,Ghazipur
D382,ST34,VARANASI,Varanasi
D383,ST34,KANNAUJ,Kannauj
D384,ST34,DHAURAHRA,Dhaurahra
D385,ST34,MIRZAPUR,Mirzapur
D386,ST34,AMBEDKAR NAGAR,Ambedkar Nagar
D387,ST34,MEERUT,Meerut
D388,ST34,FAIZABAD,Faizabad
D389,ST34,JAUNPUR,Jaunpur
D390,ST34,NAGINA,Nagina
D391,ST34,ROBERTSGANJ,Robertsganj
D392,ST34,AKBARPUR,Akbarpur
D393,ST34,AZAMGARH,Azamgarh
D394,ST34,MAINPURI,Mainpuri
D395,ST34,RAE BARELI,Rae Bareli
D396,ST34,MATHURA,Mathura
D397,ST34,SAHARANPUR,Saharanpur
D398,ST34,KAIRANA,Kairana
D399,ST34,DOMARIYAGANJ,Domariyaganj
D400,ST34,PILIBHIT,Pilibhit
D401,ST34,BANSRGAON,Bansrgaon
D402,ST34,AMROHA,Amroha
D403,ST34,ETAWAH,Etawah
D404,ST34,AMETHI,Amethi
D405,ST34,GAUTAM BUDDHA NAGAR,Gautam Buddha Nagar
D406,ST34,SULTANPUR,Sultanpur
D407,ST34,NORTH EAST DELHI,North East Delhi
D408,ST34,RAMPUR,Rampur
D409,ST34,FARURUKHABAD,Farurukhabad
D410,ST34,BALLIA,Ballia
D411,ST34,PHULPUR,Phulpur
D412,ST34,KAUSHAMBI,Kaushambi
D413,ST34,MISRIKH,Misrikh
D414,ST34,FATEHPUR SIKRI,Fatehpur Sikri
D415,ST34,LUCKNOW,Lucknow
D416,ST34,ETAH,Etah
D417,ST34,BASTI,Basti
D418,ST34,BHADOHI,Bhadohi
D419,ST34,GORAKHPUR,Gorakhpur
D420,ST34,MORADABAD,Moradabad
D421,ST34,FATEHPUR,Fatehpur
D422,ST34,MUZAFFARNAGAR,Muzaffarnagar
D423,ST34,ALIGARH,Aligarh
D424,ST34,JASWANTNAGAR,Jaswantnagar
D425,ST34,ALLAHABAD,Allahabad
D426,ST34,BANDA,Banda
D427,ST34,BARABANKI,Barabanki
D428,ST34,KHERI,Kheri
D429,ST34,CHANDAULI,Chandauli
D430,ST34,HARDOI,Hardoi
D431,ST34,SAMBHAL,Sambhal
D432,ST34,BIJNOR,Bijnor
D433,ST34,SITAPUR,Sitapur
D434,ST34,UNNAO,Unnao
D435,ST34,AGRA,Agra
D436,ST34,JHANSI,Jhansi
D437,ST34,BULANDSHAHR,Bulandshahr
D438,ST34,KANPUR,Kanpur
D439,ST34,SANT KABIR NAGAR,Sant Kabir Nagar
D440,ST34,KUSHI NAGAR,Kushi Nagar
D441,ST34,DEORIA,Deoria
D442,ST34,BANSGAON,Bansgaon
D443,ST34,LALGANJ,Lalganj
D444,ST34,MACHHLISHAHR,Machhlishahr
D445,ST34,KAISERGANJ,Kaiserganj
D446,ST34,GONDA,Gonda
D447,ST34,SHRAWASTI,Shrawasti
D448,ST34,BAHRAICH,Bahraich
D449,ST35,NAINITAL-UDHAMSINGH NAGAR,Nainital-udhamsingh Nagar
D450,ST35,ALMORA,Almora
D451,ST35,GARHWAL,Garhwal
D452,ST35,TEHRI GARHWAL,Tehri Garhwal
D453,ST35,HARIDWAR,Haridwar
D454,ST36,DIAMOND HARBOUR,Diamond Harbour
D455,ST36,BAHARAMPUR,Baharampur
D456,ST36,BOLPUR,Bolpur
D457,ST36,JAMUI,Jamui
D458,ST36,GHATAL,Ghatal
D459,ST36,BARDHAMAN-DURGAPUR,Bardhaman-durgapur
D460,ST36,RANAGHAT,Ranaghat
D461,ST36,PURULIA,Purulia
D462,ST36,SREERAMPUR,Sreerampur
D463,ST36,JANGIPUR,Jangipur
D464,ST36,MALDAHA UTTAR,Maldaha Uttar
D465,ST36,KRISHNANAGAR,Krishnanagar
D466,ST36,BALURGHAT,Balurghat
D467,ST36,COOCH BEHAR,Cooch Behar
D468,ST36,TRIPURA WEST,Tripura West
D469,ST36,HOWRAH,Howrah
D470,ST36,DARJEELING,Darjeeling
D471,ST36,TONK-SAWAI MADHOPUR,Tonk-sawai Madhopur
D472,ST36,BIRBHUM,Birbhum
D473,ST36,BISHNUPUR,Bishnupur
D474,ST36,JADAVPUR,Jadavpur
D475,ST36,BANGAON,Bangaon
D476,ST36,ASANSOL,Asansol
D477,ST36,KOLKATA UTTAR,Kolkata Uttar
D478,ST36,BARRACKPORE,Barrackpore
