project_id,project_name,description,category,state_id,state_name,district_id,district_name,constituency_id,constituency_name,mp_id,mp_name,ia_id,ia_name,sanction_amount,sanction_date,start_date,expected_completion_date,actual_completion_date,physical_progress,financial_progress,status,latitude,longitude,address,gps_accuracy_meters,record_source,synthetic_scenario,source_file,source_row,synthetic_seed,risk_overall_score,risk_level,risk_financial,risk_timeline,risk_compliance,risk_ia,risk_geo,risk_evidence,risk_reasons,flags_count
P10014,Bridge & Culvert - Sitarampur Ward 10,Construction of RCC High Level Bridge across local stream at Sitarampur Ward 10.,Bridge & Culvert,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA003,Andaman & Nicobar Islands MUNICIPAL Executive Division,2660000,2026-08-24,2026-09-30,2027-06-11,2027-06-11,100,100,COMPLETED,11.4388,92.8766,"Sitarampur Ward 10, Andaman & Nicobar Islands",8,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10015,Primary Health Centre & Hospital - Shivpur Ward 7,Establishment of Ayush Health and Wellness Centre with diagnostic equipment in Shivpur Ward 7.,Primary Health Centre & Hospital,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA004,Andaman & Nicobar Islands PHED Executive Division,5360000,2025-02-05,2025-03-04,2026-04-18,2026-04-18,100,100,COMPLETED,12.1522,92.6435,"Shivpur Ward 7, Andaman & Nicobar Islands",6,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10016,Drainage & Sewerage - Shanti Nagar Ward 2,Construction of storm water pucca RCC covered drainage system along main bazaar in Shanti Nagar Ward 2.,Drainage & Sewerage,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA006,Andaman & Nicobar Islands ELECTRICITY Executive Division,5390000,2025-02-14,2025-03-06,2026-01-04,,18,86,IN_PROGRESS,11.7898,92.7511,"Shanti Nagar Ward 2, Andaman & Nicobar Islands",4,SYNTHETIC,PAYMENT_PROGRESS_MISMATCH,Allocated Limit for Honble MPs.csv,2,26102,0.58,HIGH,0.88,0.92,0.1,0.14,0.08,0.85,Disproportionate financial disbursement (86%) vs physical ground execution (18%); Timeline breach: Incomplete work overdue beyond target completion deadline,2
P10017,Road & Transport - Anandpur Ward 8,Upgradation and widening of rural arterial road connecting Anandpur Ward 8 via Rampur Chowk.,Road & Transport,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA001,Andaman & Nicobar Islands PWD Executive Division,3530000,2025-09-28,2025-11-10,2026-06-26,,0,0,NOT_STARTED,12.0775,92.2339,"Anandpur Ward 8, Andaman & Nicobar Islands",11,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.29,LOW,0.15,0.92,0.1,0.14,0.08,0.1,Timeline breach: Incomplete work overdue beyond target completion deadline,1
P10018,Sanitation Complex - Sultanpur Ward 15,Construction of Community Sanitary Complex (CSC) with running water facility at Sultanpur Ward 15.,Sanitation Complex,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA001,Andaman & Nicobar Islands PWD Executive Division,5480000,2025-04-28,2025-06-01,2026-01-09,2026-01-09,100,100,COMPLETED,11.9566,92.2507,"Sultanpur Ward 15, Andaman & Nicobar Islands",5,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10019,School & Educational Infra - Fatehpur Ward 9,Construction of 4 additional smart classrooms and science laboratory at Govt High School Fatehpur Ward 9.,School & Educational Infra,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA001,Andaman & Nicobar Islands PWD Executive Division,2560000,2024-05-05,2024-05-31,2024-12-29,,42,48,IN_PROGRESS,11.7342,92.7035,"Fatehpur Ward 9, Andaman & Nicobar Islands",6,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.29,LOW,0.15,0.92,0.1,0.14,0.08,0.1,Timeline breach: Incomplete work overdue beyond target completion deadline,1
P10020,Sanitation Complex - Haripur Ward 5,Construction of Community Sanitary Complex (CSC) with running water facility at Haripur Ward 5.,Sanitation Complex,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA004,Andaman & Nicobar Islands PHED Executive Division,4460000,2026-02-15,2026-03-16,2026-11-13,2026-11-13,100,100,COMPLETED,11.9438,92.4199,"Haripur Ward 5, Andaman & Nicobar Islands",4,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10021,Community Hall & Social Asset - Mohanpur Ward 1,Construction of Dr. B.R. Ambedkar Bhavan and community asset centre in Mohanpur Ward 1.,Community Hall & Social Asset,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA001,Andaman & Nicobar Islands PWD Executive Division,4680000,2025-07-02,2025-08-11,2026-05-29,2026-05-29,100,100,COMPLETED,12.0093,92.3139,"Mohanpur Ward 1, Andaman & Nicobar Islands",6,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10022,Community Hall & Social Asset - Patel Chowk Ward 11,Construction of multipurpose community welfare hall and cultural stage at Patel Chowk Ward 11.,Community Hall & Social Asset,ST01,Andaman & Nicobar Islands,D001,Andaman And Nicobar Islands,C001,Andaman And Nicobar Islands,MP001,Bishnu Pada Ray,IA006,Andaman & Nicobar Islands ELECTRICITY Executive Division,2720000,2026-08-18,2026-09-13,2027-08-18,,0,0,NOT_STARTED,11.7228,92.5807,"Patel Chowk Ward 11, Andaman & Nicobar Islands",4,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,2,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10023,Drinking Water Supply - Rampur Ward 1,"Installation of Deep Tube Well, RO Filtration Unit and Overhead Tank at Rampur Ward 1.",Drinking Water Supply,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA014,Andhra Pradesh IRRIGATION Executive Division,3140000,2026-09-13,2026-10-25,2027-05-23,,0,0,NOT_STARTED,15.5044,79.9918,"Rampur Ward 1, Andhra Pradesh",12,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,3,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10024,Public Solar & Street Lighting - Kalyanpur Ward 1,Installation of 120 Nos. LED Solar High-Mast street lights in wards of Kalyanpur Ward 1.,Public Solar & Street Lighting,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA008,Andhra Pradesh PWD Executive Division,1840000,2024-08-19,2024-09-07,2025-05-14,,35,42,STALLED,15.9382,79.3465,"Kalyanpur Ward 1, Andhra Pradesh",10,SYNTHETIC,TIMELINE_DELAY_ANOMALY,Allocated Limit for Honble MPs.csv,3,26102,0.29,LOW,0.15,0.92,0.1,0.14,0.08,0.1,Timeline breach: Incomplete work overdue beyond target completion deadline,1
P10025,Sports & Youth Facility - Krishnanagar Ward 14,Construction of indoor badminton court and youth club building in Krishnanagar Ward 14.,Sports & Youth Facility,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA009,Andhra Pradesh DRDA Executive Division,3650000,2025-10-18,2025-11-26,2026-05-25,,58,48,IN_PROGRESS,15.6508,79.9266,"Krishnanagar Ward 14, Andhra Pradesh",6,SYNTHETIC,COMPLIANCE_ANOMALY,Allocated Limit for Honble MPs.csv,3,26102,0.4,MEDIUM,0.15,0.92,0.85,0.14,0.08,0.1,Timeline breach: Incomplete work overdue beyond target completion deadline; Compliance infraction: Missing mandatory statutory clearance and sanction records,2
P10026,Community Hall & Social Asset - Mohanpur Ward 6,Construction of Dr. B.R. Ambedkar Bhavan and community asset centre in Mohanpur Ward 6.,Community Hall & Social Asset,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA008,Andhra Pradesh PWD Executive Division,3590000,2026-01-23,2026-02-14,2026-11-12,2026-11-12,100,100,COMPLETED,15.9958,80.0534,"Mohanpur Ward 6, Andhra Pradesh",11,SYNTHETIC,IA_CONCENTRATION_ANOMALY,Allocated Limit for Honble MPs.csv,3,26102,0.23,LOW,0.15,0.12,0.1,0.85,0.08,0.1,High contractor/agency concentration risk detected for Andhra Pradesh PWD Executive Division,1
P10027,Sanitation Complex - Laxmipur Ward 10,Construction of public bio-toilets and modern wash facility near bus stand Laxmipur Ward 10.,Sanitation Complex,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA009,Andhra Pradesh DRDA Executive Division,26100000,2025-03-12,2025-04-04,2025-12-06,,47,55,IN_PROGRESS,15.6436,79.568,"Laxmipur Ward 10, Andhra Pradesh",4,SYNTHETIC,HIGH_COST_ANOMALY,Allocated Limit for Honble MPs.csv,3,26102,0.62,HIGH,0.84,0.92,0.7,0.14,0.08,0.1,Cost estimate exceeds CPWD/PWD schedule of rates benchmark by >300%; Timeline breach: Incomplete work overdue beyond target completion deadline,2
P10028,Public Solar & Street Lighting - Sundarnagar Ward 2,Installation of 120 Nos. LED Solar High-Mast street lights in wards of Sundarnagar Ward 2.,Public Solar & Street Lighting,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA010,Andhra Pradesh MUNICIPAL Executive Division,4760000,2024-08-25,2024-10-09,2025-07-21,,63,59,IN_PROGRESS,16.3118,79.7981,"Sundarnagar Ward 2, Andhra Pradesh",3,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,3,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10029,Bridge & Culvert - Maharajpur Ward 11,Reconstruction of dilapidated Box Culvert and approach link at Maharajpur Ward 11.,Bridge & Culvert,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA014,Andhra Pradesh IRRIGATION Executive Division,3830000,2026-08-22,2026-10-05,2027-10-01,,79,84,IN_PROGRESS,16.128,79.3011,"Maharajpur Ward 11, Andhra Pradesh",3,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,3,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10030,Drainage & Sewerage - Chandpur Ward 13,Construction of underground drainage network and silt chamber in Chandpur Ward 13.,Drainage & Sewerage,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA008,Andhra Pradesh PWD Executive Division,2970000,2026-03-05,2026-04-16,2027-05-03,2027-05-03,100,100,COMPLETED,15.9171,79.802,"Chandpur Ward 13, Andhra Pradesh",4,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,3,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10031,Irrigation & Check Dam - Laxmipur Ward 1,Lift irrigation scheme with pipeline network for marginal farmers in Laxmipur Ward 1.,Irrigation & Check Dam,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA010,Andhra Pradesh MUNICIPAL Executive Division,4280000,2026-08-16,2026-09-24,2027-06-23,,30,26,IN_PROGRESS,15.6542,79.6782,"Laxmipur Ward 1, Andhra Pradesh",9,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,3,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10032,Road & Transport - Shanti Nagar Ward 15,Upgradation and widening of rural arterial road connecting Shanti Nagar Ward 15 via Gopalpur Chowk.,Road & Transport,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA014,Andhra Pradesh IRRIGATION Executive Division,3000000,2024-01-04,2024-02-14,2024-09-05,,29,32,IN_PROGRESS,16.0705,79.7065,"Shanti Nagar Ward 15, Andhra Pradesh",5,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,3,26102,0.29,LOW,0.15,0.92,0.1,0.14,0.08,0.1,Timeline breach: Incomplete work overdue beyond target completion deadline,1
P10033,School & Educational Infra - Bhimpur Ward 13,"Construction of boundary wall, mid-day meal shed, and toilet block at Govt Primary School Bhimpur Ward 13.",School & Educational Infra,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA008,Andhra Pradesh PWD Executive Division,6090000,2024-12-19,2025-01-03,2025-12-20,2025-12-20,100,100,COMPLETED,15.6591,79.9991,"Bhimpur Ward 13, Andhra Pradesh",11,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,3,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10034,Primary Health Centre & Hospital - Krishnanagar Ward 3,Construction of 10-bed Maternity and Child Care wing at Primary Health Centre Krishnanagar Ward 3.,Primary Health Centre & Hospital,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA013,Andhra Pradesh ELECTRICITY Executive Division,6330000,2026-09-05,2026-10-17,2027-08-22,2027-08-22,100,100,COMPLETED,15.8697,79.8298,"Krishnanagar Ward 3, Andhra Pradesh",8,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,3,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10035,Bridge & Culvert - Gandhi Gram Ward 15,Reconstruction of dilapidated Box Culvert and approach link at Gandhi Gram Ward 15.,Bridge & Culvert,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA012,Andhra Pradesh ZILLA_PARISHAD Executive Division,3230000,2025-03-15,2025-04-12,2026-02-07,2026-02-07,100,100,COMPLETED,16.1533,80.1585,"Gandhi Gram Ward 15, Andhra Pradesh",4,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,3,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10036,Road & Transport - Gandhi Gram Ward 1,Construction and blacktopping of CC road from Gandhi Gram Ward 1 to Haripur Chowk in APPALANAIDU KALISETTI.,Road & Transport,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA013,Andhra Pradesh ELECTRICITY Executive Division,2270000,2025-04-19,2025-05-21,2026-03-22,,25,31,IN_PROGRESS,15.9367,79.5366,"Gandhi Gram Ward 1, Andhra Pradesh",8,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,3,26102,0.29,LOW,0.15,0.92,0.1,0.14,0.08,0.1,Timeline breach: Incomplete work overdue beyond target completion deadline,1
P10037,Drinking Water Supply - Shanti Nagar Ward 7,Laying of drinking water pipeline network with solar-powered pump set in Shanti Nagar Ward 7.,Drinking Water Supply,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA008,Andhra Pradesh PWD Executive Division,2980000,2024-12-14,2025-01-04,2025-11-02,2025-11-02,100,100,COMPLETED,15.7391,79.3097,"Shanti Nagar Ward 7, Andhra Pradesh",10,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,3,26102,0.13,LOW,0.15,0.12,0.1,0.14,0.08,0.1,All parameters within standard MoSPI/MPLADS audit benchmarks,0
P10038,Public Solar & Street Lighting - Chandpur Ward 14,Solar electrification of public facilities and market junction at Chandpur Ward 14.,Public Solar & Street Lighting,ST02,Andhra Pradesh,D002,Vizianagaram,C002,Vizianagaram,MP002,Appalanaidu Kalisetti,IA010,Andhra Pradesh MUNICIPAL Executive Division,4830000,2024-02-26,2024-03-19,2024-12-16,,44,46,IN_PROGRESS,16.3072,80.1891,"Chandpur Ward 14, Andhra Pradesh",8,SYNTHETIC,NORMAL_BENCHMARK,Allocated Limit for Honble MPs.csv,3,26102,0.29,LOW,0.15,0.92,0.1,0.14,0.08,0.1,Timeline breach: Incomplete work overdue beyond target completion deadline,1
