"Sr. No.","State","Hon'ble Members of Parliaments","Constituency","Allocated AMOUNT ( ₹ )"
"86","CHHATTISGARH","JYOTSNA CHARANDAS MAHANT","KORBA","50,000,000"
"87","CHHATTISGARH","KAMLESH JANGDE","JANJGIR-CHAMPA","50,000,000"
"88","CHHATTISGARH","MAHESH KASHYAP","BASTAR","50,000,000"
"89","CHHATTISGARH","RADHESHYAM RATHIYA","RAIGARH","50,000,000"
"90","CHHATTISGARH","ROOP KUMARI CHOUDHARY","MAHASAMUND","50,000,000"
"91","CHHATTISGARH","SANTOSH PANDEY","RAJNANDGAON","50,000,000"
"92","CHHATTISGARH","TOKHAN SAHU","BILASPUR","50,000,000"
"93","CHHATTISGARH","VIJAY BAGHEL","DURG","50,000,000"
"94","DADRA AND NAGAR HAVELI AND DAMAN AND DIU","DELKAR KALABEN MOHANBHAI","DADRA AND NAGAR HAVELI","50,000,000"
"95","DADRA AND NAGAR HAVELI AND DAMAN AND DIU","PATEL UMESHBHOI BABUBHAI","DAMAN AND DIU","50,000,000"
"96","DELHI","BANSURI SWARAJ","NEW DELHI","50,000,000"
"97","DELHI","HARSH MALHOTRA","EAST DELHI","50,000,000"
"98","DELHI","KAMALJEET SEHRAWAT","WEST DELHI","50,000,000"
"99","DELHI","MANOJ TIWARI","NORTH EAST DELHI","50,000,000"
"100","DELHI","PRAVEEN KHANDELWAL","CHANDNI CHOWK","50,000,000"
"101","DELHI","RAMVIR SINGH BIDHURI","SOUTH DELHI","50,000,000"
"102","DELHI","YOGENDER CHANDOLIYA","NORTH WEST DELHI","50,000,000"
"103","GOA","SHRIPAD YESSO NAIK","NORTH GOA","50,000,000"
"104","GOA","VIRIDIANA FERNANDES","SOUTH GOA","50,000,000"
"105","GUJARAT","AMIT SHAH","GANDHINAGAR","50,000,000"
"106","GUJARAT","BHARATSINHJI DABHI","PATAN","50,000,000"
"107","GUJARAT","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","50,000,000"
"108","GUJARAT","C R PATIL","NAVSARI","50,000,000"
"109","GUJARAT","DEVUSINH CHAUHAN","KHEDA","50,000,000"
"110","GUJARAT","DINESHBHAI MAKWANA","AHMEDABAD WEST","50,000,000"
"111","GUJARAT","GENIBEN THAKOR","BANASKANTHA","50,000,000"
"112","GUJARAT","HASMUKHBHAI PATEL","AHMEDABAD EAST","50,000,000"
"113","GUJARAT","HEMANG JOSHI","VADODARA","50,000,000"
"114","GUJARAT","JASHVANTSINH SUMANBHAI BHABHOR","DAHOD","50,000,000"
"115","GUJARAT","MANSUKH MANDAVIYA","PORBANDAR","50,000,000"
"116","GUJARAT","MUKESHKUMAR CHANDRAKANT DALAL","SURAT","50,000,000"
"117","GUJARAT","NIMUBEN BAMBHANIYA","BHAVNAGAR","50,000,000"
"118","GUJARAT","PARSHOTTAM RUPALA","RAJKOT","50,000,000"
"119","GUJARAT","PRABHUBHAI NAGARBHAI VASAVA","BARDOLI","50,000,000"
"120","GUJARAT","PUNAMBEN MAADAM","JAMNAGAR","50,000,000"
"121","GUJARAT","RAJESHBHAI CHUDASAMA","JUNAGADH","50,000,000"
"122","GUJARAT","RAMESHBHAI DHADUK","PORBANDAR","50,000,000"
"123","GUJARAT","SHOBHANABEN BARAIYA","SABARKANTHA","50,000,000"
"124","GUJARAT","VINOD LAKHAMSHI CHAVDA","KACHCHH","50,000,000"
"125","GUJARAT","MITESH PATEL","ANAND","50,000,000"
"126","GUJARAT","DHAVAL PATEL","VALSAD","50,000,000"
"127","GUJARAT","MANSUKHBHAI VASAVA","BHARUCH","50,000,000"
"128","GUJARAT","JASWANTSINH PARMAR","PANCHMAHAL","50,000,000"
"129","GUJARAT","HARIBHAI PATEL","MEHSANA","50,000,000"
"130","GUJARAT","BHARATBHAI SUTARIYA","AMRELI","50,000,000"
"131","HARYANA","DEEPENDER SINGH HOODA","ROHTAK","50,000,000"
"132","HARYANA","DHARAMBIR SINGH","BHIWANI-MAHENDRAGARH","50,000,000"
"133","HARYANA","JAI PARKASH","HISAR","50,000,000"
"134","HARYANA","KRISHAN PAL GURJAR","FARIDABAD","50,000,000"
"135","HARYANA","KUMARI SELJA","SIRSA","50,000,000"
"136","HARYANA","MANOHAR LAL KHATTAR","KARNAL","50,000,000"
"137","HARYANA","NAVEEN JINDAL","KURUKSHETRA","50,000,000"
"138","HARYANA","RAO INDERJIT SINGH","GURGAON","50,000,000"
"139","HARYANA","SATPAL BRAHMACHARI","SONIPAT","50,000,000"
"140","HARYANA","VARUN CHAUDHRY","AMBALA","50,000,000"
"141","HIMACHAL PRADESH","ANURAG SINGH THAKUR","HAMIRPUR","50,000,000"
"142","HIMACHAL PRADESH","KANGANA RANAUT","MANDI","50,000,000"
"143","HIMACHAL PRADESH","RAJEEV BHARDWAJ","KANGRA","50,000,000"
"144","HIMACHAL PRADESH","SURESH KUMAR KASHYAP","SHIMLA","50,000,000"
"145","JAMMU AND KASHMIR","AGA SYED RUHULLAH MEHDI","SRINAGAR","50,000,000"
"146","JAMMU AND KASHMIR","ENGINEER RASHID","BARAMULLA","50,000,000"
"147","JAMMU AND KASHMIR","JITENDRA SINGH","UDHAMPUR","50,000,000"
"148","JAMMU AND KASHMIR","JUGAL KISHORE SHARMA","JAMMU","50,000,000"
"149","JAMMU AND KASHMIR","MIAN ALTAF AHMAD","ANANTNAG-RAJOURI","50,000,000"
"150","JHARKHAND","ANNAPURNA DEVI","KODERMA","50,000,000"
"151","JHARKHAND","BIDYUT BARAN MAHATO","JAMSHEDPUR","50,000,000"
"152","JHARKHAND","DHULU MAHTO","DHANBAD","50,000,000"
"153","JHARKHAND","JOBHA MANJHI","SINGHBHUM","50,000,000"
"154","JHARKHAND","KALICHARAN SINGH","CHATRA","50,000,000"
"155","JHARKHAND","MANISH JAISWAL","HAZARIBAGH","50,000,000"
"156","JHARKHAND","NALIN SOREN","DUMKA","50,000,000"
"157","JHARKHAND","NISHIKANT DUBEY","GODDA","50,000,000"
"158","JHARKHAND","SANJAY SETH","RANCHI","50,000,000"
"159","JHARKHAND","SUKHDEO BHAGAT","LOHARDAGA","50,000,000"
"160","JHARKHAND","VIJAY KUMAR HANSDAK","RAJMAHAL","50,000,000"
"161","JHARKHAND","VISHNU DAYAL RAM","PALAMU","50,000,000"
"162","JHARKHAND","CHANDRAPRAKASH CHOUDHARY","GIRIDIH","50,000,000"
"163","JHARKHAND","KALI CHARAN MUNDA","KHUNTI","50,000,000"
"164","KARNATAKA","BASAVARAJ BOMMAI","HAVERI","50,000,000"
"165","KARNATAKA","B Y RAGHAVENDRA","SHIMOGA","50,000,000"
"166","KARNATAKA","C N MANJUNATH","BANGALORE RURAL","50,000,000"
"167","KARNATAKA","E T MOHAMMED BASHEER","GULBARGA","50,000,000"
"168","KARNATAKA","GOVIND KARJOL","CHITRADURGA","50,000,000"
"169","KARNATAKA","H D KUMARASWAMY","MANDYA","50,000,000"
"170","KARNATAKA","JAGADISH SHETTAR","BELGAUM","50,000,000"
"171","KARNATAKA","K SUDHAKAR","CHIKKABALLAPUR","50,000,000"
"172","KARNATAKA","M MALLIKARJUN KHARGE","GULBARGA","50,000,000"
"173","KARNATAKA","MALIKARJUN KHARGE","GULBARGA","50,000,000"
"174","KARNATAKA","PRAHLAD JOSHI","DHARWAD","50,000,000"
"175","KARNATAKA","RADHAKRISHNA DODDAMANI","GULBARGA","50,000,000"
"176","KARNATAKA","S MUNISWAMY","KOLAR","50,000,000"
"177","KARNATAKA","SHOBHA KARANDLAJE","BANGALORE NORTH","50,000,000"
"178","KARNATAKA","TEJASVI SURYA","BANGALORE SOUTH","50,000,000"
"179","KARNATAKA","V SOMANNA","TUMKUR","50,000,000"
"180","KARNATAKA","VISHWESHWAR HEGDE KAGERI","UTTARA KANNADA","50,000,000"
"181","KARNATAKA","YADUVEER KRISHNADATTA CHAMARAJA WADIYAR","MYSORE","50,000,000"
"182","KARNATAKA","G M SIDDESHWAR","DAVANAGERE","50,000,000"
"183","KARNATAKA","PRABHAKAR KORE","CHIKKODI","50,000,000"
"184","KARNATAKA","P C MOHAN","BANGALORE CENTRAL","50,000,000"
"185","KARNATAKA","RAMESH JIGAJINAGI","BIJAPUR","50,000,000"
"186","KARNATAKA","KUMAR BANGARAPPA","SHIMOGA","50,000,000"
"187","KARNATAKA","KOTA SRINIVAS POOJARY","UDUPI CHIKMAGALUR","50,000,000"
"188","KARNATAKA","BRIJESH CHOWTA","DAKSHINA KANNADA","50,000,000"
"189","KARNATAKA","SHREYAS M PATEL","HASSAN","50,000,000"
"190","KARNATAKA","G KUMAR NAIK","RAICHUR","50,000,000"
"191","KARNATAKA","TUKARAM E","BELLARY","50,000,000"
"192","KERALA","A M ARIFF","ALAPPUZHA","50,000,000"
"193","KERALA","ANTO ANTONY","PATHANAMTHITTA","50,000,000"
"194","KERALA","DEAN KURIAKOSE","IDUKKI","50,000,000"
"195","KERALA","E T MOHAMMED BASHEER","MALAPPURAM","50,000,000"
"196","KERALA","HIBI EDEN","ERNAKULAM","50,000,000"
"197","KERALA","K C VENUGOPAL","ALAPPUZHA","50,000,000"
"198","KERALA","K FRANCIS GEORGE","KOTTAYAM","50,000,000"
"199","KERALA","K MURALEEDHARAN","THRISSUR","50,000,000"
"200","KERALA","K RADHAKRISHNAN","ALATHUR","50,000,000"
"201","KERALA","K SUDHAKARAN","KANNUR","50,000,000"
"202","KERALA","M K RAGHAVAN","KOZHIKODE","50,000,000"
"203","KERALA","N K PREMACHANDRAN","KOLLAM","50,000,000"
"204","KERALA","RAJMOHAN UNNITHAN","KASARAGOD","50,000,000"
"205","KERALA","SHAFI PARAMBIL","VADAKARA","50,000,000"
"206","KERALA","SHASHI THAROOR","THIRUVANANTHAPURAM","50,000,000"
"207","KERALA","SURESH GOPI","THRISSUR","50,000,000"
"208","KERALA","V K SREEKANDAN","PALAKKAD","50,000,000"
"209","KERALA","KODIKUNNIL SURESH","MAVELIKARA","50,000,000"
"210","KERALA","M P ABDUSSAMAD SAMADANI","PONNANI","50,000,000"
"211","KERALA","PRIYANKA GANDHI VADRA","WAYANAD","50,000,000"
"212","LADAKH","MOHMAD HANEEFA","LADAKH","50,000,000"
"213","LAKSHADWEEP","MUHAMMED HAMDULLAH SAYEED","LAKSHADWEEP","50,000,000"
"214","MADHYA PRADESH","ALOK SHARMA","BHOPAL","50,000,000"
"215","MADHYA PRADESH","ANIL FIROJIYA","UJJAIN","50,000,000"
"216","MADHYA PRADESH","ASHISH DUBEY","JABALPUR","50,000,000"
"217","MADHYA PRADESH","BHARAT SINGH KUSHWAH","GWALIOR","50,000,000"
"218","MADHYA PRADESH","DARSHITA SINGH","KHAJURAHO","50,000,000"
"219","MADHYA PRADESH","GAJENDRA PATEL","KHARGONE","50,000,000"
"220","MADHYA PRADESH","HIMADRI SINGH","SHAHDOL","50,000,000"
"221","MADHYA PRADESH","JYOTIRADITYA SCINDIA","GUNA","50,000,000"
"222","MADHYA PRADESH","KANGANA YADAV","MORENA","50,000,000"
"223","MADHYA PRADESH","LATA WANKHEDE","SAGAR","50,000,000"
"224","MADHYA PRADESH","MAHENDRA SINGH SOLANKI","DEWAS","50,000,000"
"225","MADHYA PRADESH","MANSHANKAR RAWAT","RATLAM","50,000,000"
"226","MADHYA PRADESH","RAKESH SINGH","JABALPUR","50,000,000"
"227","MADHYA PRADESH","RODMAL NAGAR","RAJGARH","50,000,000"
"228","MADHYA PRADESH","SANDHYA RAY","BHIND","50,000,000"
"229","MADHYA PRADESH","SAVITRI THAKUR","DHAR","50,000,000"
"230","MADHYA PRADESH","SHANKAR LALWANI","INDORE","50,000,000"
"231","MADHYA PRADESH","SHIVRAJ SINGH CHOUHAN","VIDISHA","50,000,000"
"232","MADHYA PRADESH","SUDHIR GUPTA","MANDSAUR","50,000,000"
"233","MADHYA PRADESH","VIRENDRA KUMAR","TIKAMGARH","50,000,000"
"234","MADHYA PRADESH","V D SHARMA","KHAJURAHO","50,000,000"
"235","MADHYA PRADESH","DURGADAS UIKEY","BETUL","50,000,000"
"236","MADHYA PRADESH","FAGGAN SINGH KULASTE","MANDLA","50,000,000"
"237","MADHYA PRADESH","JANARDAN MISHRA","REWA","50,000,000"
"238","MADHYA PRADESH","GANESH SINGH","SATNA","50,000,000"
"239","MADHYA PRADESH","RAJESH MISHRA","SIDHI","50,000,000"
"240","MADHYA PRADESH","BUNTY VIVEK SAHU","CHHINDWARA","50,000,000"
"241","MADHYA PRADESH","BHARTI PARDHI","BALAGHAT","50,000,000"
"242","MADHYA PRADESH","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","50,000,000"
"243","MAHARASHTRA","AMOL GAJANAN KIRTIKAR","MUMBAI NORTH WEST","50,000,000"
"244","MAHARASHTRA","ANUP SANJAY DHOTRE","AKOLA","50,000,000"
"245","MAHARASHTRA","ARVIND SAWANT","MUMBAI SOUTH","50,000,000"
"246","MAHARASHTRA","BALWANT BASWANT WANKHADE","AMRAVATI","50,000,000"
"247","MAHARASHTRA","BHAUSAHEB RAJARAM WAKCHAURE","SHIRDI","50,000,000"
"248","MAHARASHTRA","CHANDRAKANT KHARE","CHHATRAPATI SAMBHAJINAGAR","50,000,000"
"249","MAHARASHTRA","CHAVAN VASANTRAO BALWANTRAO","NANDED",""
"250","MAHARASHTRA","DHANANJAY MAHADIK","KOLHAPUR","50,000,000"
"251","MAHARASHTRA","DHAIRYASHEEL MOHITE PATIL","MADHA","50,000,000"
"252","MAHARASHTRA","GOWAL KAGADA PADVI","NANDURBAR","50,000,000"
"253","MAHARASHTRA","HEMANT VISHNU SAVARA","PALGHAR","50,000,000"
"254","MAHARASHTRA","KALYANRAO PATIL","OSMANABAD","50,000,000"
"255","MAHARASHTRA","KALYAN JADHAV","BULDHANA","50,000,000"
"256","MAHARASHTRA","MEDHA VISHRAM KULKARNI","PUNE","50,000,000"
"257","MAHARASHTRA","MURLIDHAR MOHOL","PUNE","50,000,000"
"258","MAHARASHTRA","NANA PATOLE","BHANDARA-GONDIYA","50,000,000"
"259","MAHARASHTRA","NARESH GANPAT MHASKE","THANE","50,000,000"
"260","MAHARASHTRA","NITIN GADKARI","NAGPUR","50,000,000"
"261","MAHARASHTRA","OMPRAKASH RAJENIMBALKAR","DHARASHIV","50,000,000"
"262","MAHARASHTRA","PIYUSH GOYAL","MUMBAI NORTH","50,000,000"
"263","MAHARASHTRA","PRANITI SHINDE","SOLAPUR","50,000,000"
"264","MAHARASHTRA","PRATIBHA DHANORKAR","CHANDRAPUR","50,000,000"
"265","MAHARASHTRA","PRAVEEN PATEL","WARDHA","50,000,000"
"266","MAHARASHTRA","RAHUL SHEWALE","MUMBAI SOUTH CENTRAL","50,000,000"
"267","MAHARASHTRA","RAJAN VICHARE","THANE","50,000,000"
"268","MAHARASHTRA","SANJAY DINA PATIL","MUMBAI NORTH EAST","50,000,000"
"269","MAHARASHTRA","SANJAYKAKA PATIL","SANGLI","50,000,000"
"270","MAHARASHTRA","SANJAY UTTAMRAO DESHMUKH","YAVATMAL-WASHIM","50,000,000"
"271","MAHARASHTRA","SHAILESH JADHAV","HINGOLI","50,000,000"
"272","MAHARASHTRA","SHIVAJIRAO KALGE","LATUR","50,000,000"
"273","MAHARASHTRA","SHRIKANT SHINDE","KALYAN","50,000,000"
"274","MAHARASHTRA","SHRINGARE SUDHAKAR TUKARAM","LATUR","50,000,000"
"275","MAHARASHTRA","SMITA WAGH","JALGAON","50,000,000"
"276","MAHARASHTRA","SUNIL TATKARE","RAIGAD","50,000,000"
"277","MAHARASHTRA","SUPRIYA SULE","BARAMATI","50,000,000"
"278","MAHARASHTRA","SURESH DHANORKAR","CHANDRAPUR","50,000,000"
"279","MAHARASHTRA","UDAYANRAJE BHOSALE","SATARA","50,000,000"
"280","MAHARASHTRA","VARSHA GAIKWAD","MUMBAI NORTH CENTRAL","50,000,000"
"281","MAHARASHTRA","VIKAS THAKRE","NAGPUR","50,000,000"
"282","MAHARASHTRA","VISHAL PATIL","SANGLI","50,000,000"
"283","MAHARASHTRA","ANIL DESAI","MUMBAI SOUTH CENTRAL","50,000,000"
"284","MAHARASHTRA","BHASKAR BHAGARE","DINDORI","50,000,000"
"285","MAHARASHTRA","SHOBHA BACHHAV","DHULE","50,000,000"
"286","MAHARASHTRA","RAJA BHAU WAJE","NASHIK","50,000,000"
"287","MAHARASHTRA","KALYAN KALE","JALNA","50,000,000"
"288","MAHARASHTRA","NAGESH PATIL ASHTIKAR","HINGOLI","50,000,000"
"289","MAHARASHTRA","BAJRANG SONWANE","BEED","50,000,000"
"290","MAHARASHTRA","NILESH LANKE","AHMEDNAGAR","50,000,000"
"291","MANIPUR","ALFRED KANNGAM S ARTHUR","OUTER MANIPUR","50,000,000"
"292","MANIPUR","ANGOCHA THOUDAM","INNER MANIPUR","50,000,000"
"293","MEGHALAYA","RICKY ANDREW J SYNGKON","SHILLONG","50,000,000"
"294","MEGHALAYA","SALENG A SANGMA","TURA","50,000,000"
"295","MIZORAM","RICHARD VANLALHMANGIAIHA","MIZORAM","50,000,000"
"296","NAGALAND","S SUPONGMEREN JAMIR","NAGALAND","50,000,000"
"297","ODISHA","ANANTA NAYAK","KEONJHAR","50,000,000"
"298","ODISHA","APARAJITA SARANGI","BHUBANESWAR","50,000,000"
"299","ODISHA","BAIJOYANT PANDA","KENDRAPARA","50,000,000"
"300","ODISHA","BALABHADRA MAJHI","NABARANGPUR","50,000,000"
"301","ODISHA","BHARTRUHARI MAHTAB","CUTTACK","50,000,000"
"302","ODISHA","BIBHU PRASAD TARAI","JAGATSINGHPUR","50,000,000"
"303","ODISHA","DHARMENDRA PRADHAN","SAMBALPUR","50,000,000"
"304","ODISHA","JUAL ORAM","SUNDARGARH","50,000,000"
"305","ODISHA","MALVIKA DEVI","KALAHANDI","50,000,000"
"306","ODISHA","NABIN KUMAR NAYAK","DHENKANAL","50,000,000"
"307","ODISHA","PRADEEP PUROHIT","BARGARH","50,000,000"
"308","ODISHA","PRATAP CHANDRA SARANGI","BALASORE","50,000,000"
"309","ODISHA","RABINDRANARAYAN BEHERA","JAJPUR","50,000,000"
"310","ODISHA","RUDRA NARAYAN PANY","DHENKANAL","50,000,000"
"311","ODISHA","SAMBIT PATRA","PURI","50,000,000"
"312","ODISHA","SANGEETA KUMARI SINGH DEO","BOLANGIR","50,000,000"
"313","ODISHA","SAPTAGIRI SANKAR ULAKA","KORAPUT","50,000,000"
"314","ODISHA","SUKESH NAYAK","KANDHAMAL","50,000,000"
"315","ODISHA","ANITA SUBHADARSHINI","ASKA","50,000,000"
"316","ODISHA","PRADEEP PANIGRAHY","BERHAMPUR","50,000,000"
"317","ODISHA","AVIMANYU SETHI","BHADRAK","50,000,000"
"318","PUDUCHERRY","VE VAITHILINGAM","PUDUCHERRY","50,000,000"
"319","PUNJAB","AMAR SINGH","FATEHGARH SAHIB","50,000,000"
"320","PUNJAB","AMRITPAL SINGH","KHADOOR SAHIB","50,000,000"
"321","PUNJAB","CHARANJIT SINGH CHANNI","JALANDHAR","50,000,000"
"322","PUNJAB","DHARAMVIRA GANDHI","PATIALA","50,000,000"
"323","PUNJAB","GURJEET SINGH AUJLA","AMRITSAR","50,000,000"
"324","PUNJAB","HARSIMRAT KAUR BADAL","BATHINDA","50,000,000"
"325","PUNJAB","MALVINDER SINGH KANG","ANANDPUR SAHIB","50,000,000"
"326","PUNJAB","MEET HEYER","SANGRUR","50,000,000"
"327","PUNJAB","RAJA WARRING","LUDHIANA","50,000,000"
"328","PUNJAB","RAJKUMAR CHHABEWAL","HOSHIARPUR","50,000,000"
"329","PUNJAB","SARABJEET SINGH KHALSA","FARIDKOT","50,000,000"
"330","PUNJAB","SHER SINGH GHUBAYA","FIROZPUR","50,000,000"
"331","PUNJAB","SUKHBIR SINGH BADAL","FIROZPUR","50,000,000"
"332","RAJASTHAN","BHAGIRATH CHOUDHARY","AJMER","50,000,000"
"333","RAJASTHAN","BHAJAN LAL JATAV","KARAULI-DHOLPUR","50,000,000"
"334","RAJASTHAN","BRIJENDRA OLA","JHUNJHUNU","50,000,000"
"335","RAJASTHAN","C P JOSHI","CHITTORGARH","50,000,000"
"336","RAJASTHAN","DAMODAR GURJAR","TONK-SAWAI MADHOPUR","50,000,000"
"337","RAJASTHAN","GAJENDRA SINGH SHEKHAWAT","JODHPUR","50,000,000"
"338","RAJASTHAN","HANUMAN BENIWAL","NAGAUR","50,000,000"
"339","RAJASTHAN","HARISH MEENA","TONK-SAWAI MADHOPUR","50,000,000"
"340","RAJASTHAN","LUMBARAM CHOUDHARY","JALORE","50,000,000"
"341","RAJASTHAN","MAHIMA KUMARI MEWAR","RAJSAMAND","50,000,000"
"342","RAJASTHAN","MANJU SHARMA","JAIPUR","50,000,000"
